,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
262,Maruti Baleno,Maruti,2020,64016,Petrol,Auto,8720,494000.00000000006,6,Surat
263,Hyundai NEW I20,Hyundai,2025,21689,Petrol,Manual,13981,792000.0,1,Surat
264,Maruti Alto,Maruti,2010,78556,Petrol,Manual,13981,90000.0,16,Surat
265,Tata NEXON,Tata,2023,37290,Petrol,Auto,18972,1108000.0,3,Surat
266,Tata NEXON,Tata,2020,61926,Diesel,Manual,12533,710000.0,6,Surat
267,Hyundai Grand i10,Hyundai,2015,78205,Diesel,Manual,9964,300000.0,11,Surat
268,Maruti Swift Dzire,Maruti,2016,77096,Diesel,Auto,11192,425000.0,10,Surat
269,Hyundai Elite i20,Hyundai,2017,34498,Petrol,Manual,9071,463999.99999999994,9,Surat
270,Hyundai Grand i10,Hyundai,2016,75709,Petrol,Manual,8230,370000.0,10,Surat
271,Maruti Alto K10,Maruti,2023,35982,Petrol,Manual,7997,453000.0,3,Surat
272,Volkswagen Vento,Volkswagen,2018,152673,Diesel,Auto,14459,650000.0,8,Surat
273,Renault Duster,Renault,2016,71394,Diesel,Manual,9191,349000.0,10,Surat
274,Maruti Baleno,Maruti,2018,64986,Petrol,Auto,7661,434000.0,8,Surat
275,Mahindra XUV500,Mahindra,2017,112720,Diesel,Manual,14348,645000.0,9,Surat
276,Tata NEXON,Tata,2024,24197,Petrol,Auto,13972,816000.0,2,Surat
277,Honda City,Honda,2016,224000,Petrol,Manual,10099,454000.0,10,Surat
278,Hyundai Grand i10,Hyundai,2015,7607,Petrol,Manual,9138,347000.0,11,Surat
279,Hyundai Grand i10,Hyundai,2016,118073,Petrol,Manual,6718,302000.0,10,Surat
280,Maruti New Wagon-R,Maruti,2023,11361,Petrol,Manual,9532,540000.0,3,Surat
281,Skoda Rapid,Skoda,2017,178469,Diesel,Auto,13725,617000.0,9,Surat
282,Hyundai Elite i20,Hyundai,2019,65458,Petrol,Manual,9074,513999.99999999994,7,Surat
283,Honda Mobilio,Honda,2014,128000,Diesel,Manual,14122,300000.0,12,Surat
