,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
144,Maruti Ciaz,Maruti,2017,26060,Petrol,Manual,8328,426000.0,9,Vadodara
145,Volkswagen Vento,Volkswagen,2018,75491,Diesel,Auto,13118,671000.0,8,Vadodara
146,Ford Ecosport,Ford,2013,118502,Diesel,Manual,22390,252000.0,13,Vadodara
147,Maruti Swift,Maruti,2013,76815,Petrol,Manual,13181,280000.0,13,Vadodara
148,Volkswagen Vento,Volkswagen,2015,57956,Diesel,Auto,12954,390000.0,11,Vadodara
149,Hyundai Verna,Hyundai,2018,95997,Diesel,Auto,13255,678000.0,8,Vadodara
150,Maruti Alto K10,Maruti,2023,13355,Petrol,Manual,7538,426999.99999999994,3,Vadodara
151,Maruti Eeco,Maruti,2014,95465,Petrol,Manual,5248,158000.0,12,Vadodara
152,Hyundai i10,Hyundai,2015,154149,Petrol,Manual,5530,210000.0,11,Vadodara
153,KIA CARENS,KIA,2022,67953,Diesel,Auto,23989,1401000.0,4,Vadodara
154,Maruti Eeco,Maruti,2011,287655,Petrol,Manual,23989,174000.0,15,Vadodara
155,Hyundai VENUE,Hyundai,2021,5968,Petrol,Manual,12586,713000.0,5,Vadodara
156,Hyundai i20,Hyundai,2014,83525,Petrol,Manual,9566,288000.0,12,Vadodara
157,Maruti IGNIS,Maruti,2018,56025,Petrol,Manual,5437,308000.0,8,Vadodara
158,Hyundai Accent,Hyundai,2010,157666,Petrol,Manual,5437,67000.0,16,Vadodara
159,KIA SONET,KIA,2022,28792,Petrol,Manual,12357,700000.0,4,Vadodara
160,Maruti Swift,Maruti,2016,113510,Diesel,Manual,7900,300000.0,10,Vadodara
161,Ford Ecosport,Ford,2015,96164,Petrol,Manual,7373,280000.0,11,Vadodara
162,Maruti Wagon R,Maruti,2010,123241,Petrol,Manual,7373,108000.0,16,Vadodara
163,Maruti Ertiga,Maruti,2014,161917,Diesel,Manual,18782,399000.0,12,Vadodara
164,Mahindra XUV500,Mahindra,2015,77225,Diesel,Manual,16009,482000.0,11,Vadodara
165,Maruti Eeco,Maruti,2011,155168,Petrol,Manual,16009,187000.0,15,Vadodara
166,Maruti S PRESSO,Maruti,2022,8941,Petrol,Manual,6479,367000.0,4,Vadodara
167,Hyundai i10,Hyundai,2011,57365,Petrol,Manual,6479,130000.0,15,Vadodara
168,Maruti Eeco,Maruti,2011,27035,Petrol,Manual,6479,171000.0,15,Vadodara
169,Honda Amaze,Honda,2018,71205,Petrol,Auto,8897,504000.0,8,Vadodara
170,Skoda KUSHAQ,Skoda,2021,34414,Petrol,Auto,16095,940000.0,5,Vadodara
171,Toyota Innova Crysta,Toyota,2024,12113,Diesel,Manual,34142,1994000.0000000002,2,Vadodara
172,Ford Ecosport,Ford,2018,94076,Diesel,Manual,9736,498000.00000000006,8,Vadodara
173,Maruti IGNIS,Maruti,2019,25984,Petrol,Manual,6973,395000.0,7,Vadodara
174,Maruti Vitara Brezza,Maruti,2019,71557,Diesel,Manual,9568,542000.0,7,Vadodara
