,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
3475,Maruti Eeco,Maruti,2011,257888,Petrol,Manual,7585,85000.0,15,Delhi NCR
3476,Maruti Baleno,Maruti,2017,27393,Petrol,Manual,8016,409999.99999999994,9,Delhi NCR
3477,Mahindra XUV500,Mahindra,2016,58240,Diesel,Auto,8016,650000.0,10,Delhi NCR
3478,Tata ALTROZ,Tata,2021,25540,Petrol,Manual,8173,463000.0,5,Delhi NCR
3479,Renault Duster,Renault,2016,69045,Diesel,Manual,8173,276000.0,10,Delhi NCR
3480,Maruti IGNIS,Maruti,2023,29527,Petrol,Manual,10256,581000.0,3,Delhi NCR
3481,Maruti Ertiga,Maruti,2020,110427,Petrol,Manual,17195,773000.0,6,Delhi NCR
3482,Tata PUNCH,Tata,2021,42046,Petrol,Manual,8685,492000.0,5,Delhi NCR
3483,Hyundai i10,Hyundai,2011,98574,Petrol,Manual,8685,95000.0,15,Delhi NCR
3484,Hyundai Xcent,Hyundai,2017,136611,Diesel,Manual,24167,272000.0,9,Delhi NCR
3485,Maruti Ciaz,Maruti,2016,78618,Diesel,Manual,24167,324000.0,10,Delhi NCR
3486,Maruti Vitara Brezza,Maruti,2017,128061,Diesel,Manual,40959,461000.00000000006,9,Delhi NCR
3487,Maruti Alto 800,Maruti,2013,82766,Petrol,Manual,7767,165000.0,13,Delhi NCR
3488,Hyundai Verna,Hyundai,2021,20927,Petrol,Manual,15753,919999.9999999999,5,Delhi NCR
3489,Honda Amaze,Honda,2018,78401,Petrol,Manual,6973,395000.0,8,Delhi NCR
3490,Hyundai i10,Hyundai,2010,99387,Petrol,Auto,6973,97000.0,16,Delhi NCR
3491,Tata Harrier,Tata,2019,99992,Diesel,Manual,25808,777000.0,7,Delhi NCR
3492,Hyundai NEW I20,Hyundai,2022,48561,Petrol,Auto,11351,643000.0,4,Delhi NCR
3493,Hyundai Santro Xing,Hyundai,2013,76959,Petrol,Manual,6355,135000.0,13,Delhi NCR
3494,Honda City,Honda,2014,54784,Petrol,Auto,11094,334000.0,12,Delhi NCR
3495,Hyundai ALCAZAR,Hyundai,2022,97127,Diesel,Auto,25506,1340000.0,4,Delhi NCR
3496,Tata NEXON,Tata,2021,93193,Diesel,Auto,17394,800000.0,5,Delhi NCR
3497,Hyundai Creta,Hyundai,2018,166362,Petrol,Auto,14014,630000.0,8,Delhi NCR
3498,Toyota Etios,Toyota,2014,66337,Petrol,Manual,9798,295000.0,12,Delhi NCR
3499,Honda Amaze,Honda,2017,99793,Diesel,Manual,26210,295000.0,9,Delhi NCR
3500,Hyundai Elite i20,Hyundai,2015,55578,Petrol,Manual,8453,321000.0,11,Delhi NCR
3501,Maruti Vitara Brezza,Maruti,2017,101904,Diesel,Manual,37316,420000.0,9,Delhi NCR
3502,Maruti New Wagon-R,Maruti,2021,143691,Petrol,Manual,8230,370000.0,5,Delhi NCR
3503,Maruti Vitara Brezza,Maruti,2017,111781,Diesel,Manual,35540,400000.0,9,Delhi NCR
3504,Maruti Swift Dzire,Maruti,2016,168775,Diesel,Manual,35540,370000.0,10,Delhi NCR
3505,Maruti Alto K10,Maruti,2023,19742,Petrol,Manual,6902,391000.0,3,Delhi NCR
3506,Tata NEXON,Tata,2020,72465,Petrol,Manual,8826,500000.0,6,Delhi NCR
3507,Maruti Baleno,Maruti,2019,94491,Petrol,Manual,7644,433000.0,7,Delhi NCR
3508,Honda City,Honda,2015,64707,Petrol,Manual,8822,335000.0,11,Delhi NCR
3509,Maruti XL6,Maruti,2021,59003,Petrol,Manual,12922,732000.0,5,Delhi NCR
3510,Maruti Swift Dzire,Maruti,2015,131839,Petrol,Manual,8980,341000.0,11,Delhi NCR
3511,Maruti Dzire,Maruti,2017,119530,Diesel,Auto,31364,353000.0,9,Delhi NCR
3512,Toyota Corolla Altis,Toyota,2011,121637,Petrol,Manual,31364,147000.0,15,Delhi NCR
3513,Hyundai Verna,Hyundai,2019,96923,Petrol,Auto,11474,650000.0,7,Delhi NCR
3514,Hyundai Elite i20,Hyundai,2020,70019,Petrol,Manual,8791,498000.00000000006,6,Delhi NCR
3515,Hyundai Creta,Hyundai,2017,148706,Petrol,Auto,13235,595000.0,9,Delhi NCR
3516,Toyota Corolla Altis,Toyota,2011,77760,Petrol,Manual,13235,145000.0,15,Delhi NCR
3517,Hyundai Grand i10,Hyundai,2014,50169,Petrol,Manual,10130,305000.0,12,Delhi NCR
3518,Honda Amaze,Honda,2018,69793,Petrol,Manual,7414,420000.0,8,Delhi NCR
3519,Mahindra XUV300,Mahindra,2019,59488,Petrol,Manual,8738,495000.0,7,Delhi NCR
3520,Skoda Superb,Skoda,2011,111644,Petrol,Manual,8738,181000.0,15,Delhi NCR
3521,Honda City,Honda,2016,88713,Petrol,Manual,8141,366000.0,10,Delhi NCR
3522,Mahindra XUV 3XO,Mahindra,2025,196,Petrol,Manual,13681,775000.0,1,Delhi NCR
3523,Mahindra Scorpio,Mahindra,2021,95924,Diesel,Manual,23917,1100000.0,5,Delhi NCR
3524,Maruti Alto,Maruti,2010,181156,Petrol,Manual,23917,52000.0,16,Delhi NCR
3525,Tata NEXON,Tata,2022,16238,Petrol,Auto,12710,720000.0,4,Delhi NCR
3526,Hyundai Santro Xing,Hyundai,2012,99913,Petrol,Manual,7019,79000.0,14,Delhi NCR
3527,Hyundai Creta,Hyundai,2017,144693,Petrol,Manual,10900,490000.00000000006,9,Delhi NCR
3528,Mahindra XUV700,Mahindra,2022,65009,Diesel,Auto,37459,1968000.0,4,Delhi NCR
3529,Mahindra XUV700,Mahindra,2023,20038,Petrol,Manual,30290,1769000.0000000002,3,Delhi NCR
3530,Honda Amaze,Honda,2018,89786,Diesel,Auto,21418,455000.0,8,Delhi NCR
3531,Hyundai Elite i20,Hyundai,2017,179087,Diesel,Manual,31008,349000.0,9,Delhi NCR
3532,Maruti Swift Dzire,Maruti,2017,112810,Diesel,Manual,37761,425000.0,9,Delhi NCR
3533,Maruti Vitara Brezza,Maruti,2017,143125,Diesel,Manual,36783,413999.99999999994,9,Delhi NCR
3534,Maruti Ertiga,Maruti,2019,52506,Petrol,Manual,12798,725000.0,7,Delhi NCR
3535,Tata Hexa,Tata,2017,45820,Diesel,Manual,37761,425000.0,9,Delhi NCR
3536,Tata NEXON,Tata,2018,38585,Petrol,Manual,8209,465000.00000000006,8,Delhi NCR
3537,Maruti Wagon R 1.0,Maruti,2010,118175,Petrol,Manual,8209,68000.0,16,Delhi NCR
3538,Maruti Wagon R 1.0,Maruti,2011,91656,Petrol,Manual,8209,94000.0,15,Delhi NCR
3539,Tata Tiago,Tata,2022,29741,Petrol,Manual,7026,398000.0,4,Delhi NCR
3540,Hyundai Verna,Hyundai,2016,89177,Petrol,Manual,8564,385000.0,10,Delhi NCR
3541,Maruti New Wagon-R,Maruti,2020,122462,Petrol,Manual,8987,404000.0,6,Delhi NCR
3542,Honda Jazz,Honda,2012,42981,Petrol,Manual,12883,145000.0,14,Delhi NCR
3543,Maruti Eeco,Maruti,2018,115051,Petrol,Manual,5272,237000.0,8,Delhi NCR
3544,Maruti Wagon R 1.0,Maruti,2011,13995,Petrol,Manual,5272,86000.0,15,Delhi NCR
3545,Maruti Alto,Maruti,2011,31753,Petrol,Manual,5272,92000.0,15,Delhi NCR
3546,Hyundai Santro Xing,Hyundai,2010,148447,Petrol,Manual,5272,60000.0,16,Delhi NCR
3547,Hyundai Grand i10,Hyundai,2017,23316,Petrol,Manual,7234,370000.0,9,Delhi NCR
3548,Maruti S PRESSO,Maruti,2021,111256,Petrol,Manual,7475,336000.0,5,Delhi NCR
3549,Maruti Wagon R 1.0,Maruti,2018,78381,Petrol,Manual,4819,273000.0,8,Delhi NCR
3550,Tata NEXON,Tata,2019,102322,Petrol,Auto,11434,513999.99999999994,7,Delhi NCR
3551,Mahindra SCORPIO-N,Mahindra,2023,22536,Petrol,Manual,27225,1590000.0,3,Delhi NCR
3552,Honda WR-V,Honda,2018,77451,Petrol,Manual,9285,526000.0,8,Delhi NCR
3553,Ford Ecosport,Ford,2015,97023,Petrol,Manual,8058,306000.0,11,Delhi NCR
3554,Maruti Alto 800,Maruti,2018,29220,Petrol,Manual,4307,244000.0,8,Delhi NCR
3555,Volkswagen Vento,Volkswagen,2016,214898,Petrol,Auto,7474,336000.0,10,Delhi NCR
3556,Honda Amaze,Honda,2017,64294,Petrol,Manual,6061,310000.0,9,Delhi NCR
3557,Renault TRIBER,Renault,2022,28210,Petrol,Manual,8067,457000.0,4,Delhi NCR
3558,Tata Harrier,Tata,2020,98660,Diesel,Manual,22272,861999.9999999999,6,Delhi NCR
3559,KIA CARENS,KIA,2022,91645,Diesel,Manual,23355,1227000.0,4,Delhi NCR
3560,Maruti Dzire,Maruti,2022,72778,Petrol,Manual,9780,554000.0,4,Delhi NCR
