,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
337,KIA SELTOS,KIA,2021,82134,Petrol,Manual,12357,700000.0,5,Jaipur
338,Maruti Ertiga,Maruti,2012,213060,Diesel,Manual,12357,349000.0,14,Jaipur
339,Maruti Swift,Maruti,2019,37145,Petrol,Auto,9250,524000.0,7,Jaipur
340,Skoda SLAVIA,Skoda,2022,37329,Petrol,Auto,18644,1089000.0,4,Jaipur
341,Nissan Terrano,Nissan,2016,154769,Diesel,Manual,5267,200000.0,10,Jaipur
342,Ford Ecosport,Ford,2014,71643,Petrol,Manual,10861,327000.0,12,Jaipur
343,Hyundai Creta,Hyundai,2015,109900,Petrol,Manual,15563,591000.0,11,Jaipur
344,Maruti Baleno,Maruti,2017,114346,Petrol,Auto,7897,355000.0,9,Jaipur
345,Hyundai Xcent,Hyundai,2014,117357,Petrol,Manual,9898,298000.0,12,Jaipur
346,Hyundai Creta,Hyundai,2016,213916,Diesel,Manual,15221,578000.0,10,Jaipur
347,Maruti Ciaz,Maruti,2018,121892,Petrol,Manual,8675,390000.0,8,Jaipur
348,Maruti Celerio,Maruti,2019,44080,Petrol,Manual,6655,377000.0,7,Jaipur
349,Hyundai Creta,Hyundai,2017,60423,Petrol,Auto,13216,676000.0,9,Jaipur
350,Tata NEXON,Tata,2021,75781,Petrol,Auto,13240,750000.0,5,Jaipur
351,Tata ALTROZ,Tata,2022,23681,Petrol,Manual,9162,519000.00000000006,4,Jaipur
352,Maruti Baleno,Maruti,2018,70257,Petrol,Manual,7326,415000.00000000006,8,Jaipur
353,Hyundai Grand i10,Hyundai,2017,87954,Petrol,Manual,6021,308000.0,9,Jaipur
354,Maruti XL6,Maruti,2023,17206,Petrol,Manual,15753,919999.9999999999,3,Jaipur
355,Maruti Swift,Maruti,2015,104668,Petrol,Manual,8321,316000.0,11,Jaipur
356,Maruti Eeco,Maruti,2022,67537,Petrol,Manual,7928,449000.0,4,Jaipur
357,Honda Amaze,Honda,2019,104473,Diesel,Manual,10766,484000.0,7,Jaipur
358,Maruti Baleno,Maruti,2020,106086,Petrol,Manual,11923,536000.0,6,Jaipur
359,Maruti Ciaz,Maruti,2016,209994,Diesel,Manual,11008,418000.0,10,Jaipur
360,Volkswagen Ameo,Volkswagen,2019,11457,Petrol,Manual,7891,447000.0,7,Jaipur
361,Hyundai GRAND I10 NIOS,Hyundai,2020,33473,Petrol,Manual,7573,429000.0,6,Jaipur
362,Honda WR-V,Honda,2017,121843,Diesel,Manual,10499,472000.0,9,Jaipur
363,Hyundai Elite i20,Hyundai,2020,94500,Petrol,Manual,8826,500000.0,6,Jaipur
364,Maruti FRONX,Maruti,2024,13426,Petrol,Auto,14160,827000.0,2,Jaipur
365,Tata NEXON,Tata,2023,9360,Petrol,Manual,19400,1133000.0,3,Jaipur
366,Hyundai GRAND I10 NIOS,Hyundai,2023,37097,Petrol,Manual,9268,525000.0,3,Jaipur
367,Hyundai Creta,Hyundai,2019,83605,Petrol,Manual,12357,700000.0,7,Jaipur
368,Tata ALTROZ,Tata,2021,52730,Petrol,Manual,7644,433000.0,5,Jaipur
369,Hyundai Creta,Hyundai,2019,95691,Diesel,Manual,13715,801000.0,7,Jaipur
370,Skoda Rapid,Skoda,2019,128442,Diesel,Manual,12435,559000.0,7,Jaipur
371,Mahindra XUV300,Mahindra,2019,84673,Diesel,Manual,11492,651000.0,7,Jaipur
372,Tata Harrier,Tata,2019,15436,Diesel,Manual,15410,900000.0,7,Jaipur
373,Tata Harrier,Tata,2019,78846,Diesel,Manual,14554,850000.0,7,Jaipur
374,Skoda Fabia,Skoda,2011,63570,Petrol,Manual,14554,350000.0,15,Jaipur
375,Hyundai EXTER,Hyundai,2023,20437,Petrol,Manual,12480,707000.0,3,Jaipur
376,MG HECTOR,MG,2019,84873,Diesel,Manual,14263,833000.0,7,Jaipur
377,Hyundai NEW I20,Hyundai,2022,89200,Petrol,Manual,9744,552000.0,4,Jaipur
378,Renault Kiger,Renault,2023,23770,Petrol,Manual,10239,580000.0,3,Jaipur
379,Hyundai Creta,Hyundai,2021,103430,Petrol,Manual,17698,814000.0,5,Jaipur
380,Hyundai Elite i20,Hyundai,2018,33896,Petrol,Manual,9109,516000.0,8,Jaipur
381,Maruti Baleno,Maruti,2021,75331,Petrol,Manual,8438,478000.0,5,Jaipur
382,Tata TIAGO EV,Tata,2025,10753,Electric,Auto,11792,668000.0,1,Jaipur
383,Hyundai GRAND I10 NIOS,Hyundai,2021,17403,Petrol,Manual,8085,458000.0,5,Jaipur
384,Maruti Ertiga,Maruti,2016,123655,Diesel,Manual,16722,635000.0,10,Jaipur
385,Maruti Alto,Maruti,2020,52896,Petrol,Manual,5349,303000.0,6,Jaipur
386,Hyundai Creta,Hyundai,2020,205814,Diesel,Manual,22460,1033000.0,6,Jaipur
387,KIA SONET,KIA,2024,8502,Petrol,Manual,15410,900000.0,2,Jaipur
388,Maruti BREZZA,Maruti,2025,16460,Petrol,Auto,16609,969999.9999999999,1,Jaipur
389,Maruti Dzire,Maruti,2019,114000,Petrol,Manual,11701,526000.0,7,Jaipur
390,Jeep Compass,Jeep,2018,57374,Diesel,Manual,15425,789000.0,8,Jaipur
391,Hyundai VENUE,Hyundai,2022,131318,Petrol,Manual,14882,669000.0,4,Jaipur
392,Renault Kwid,Renault,2024,55992,Petrol,Auto,7449,422000.0,2,Jaipur
393,Maruti Ciaz,Maruti,2015,104264,Diesel,Manual,13651,411000.00000000006,11,Jaipur
394,Honda Amaze,Honda,2020,64315,Petrol,Manual,7979,451999.99999999994,6,Jaipur
395,Hyundai Creta,Hyundai,2015,143041,Diesel,Auto,17836,537000.0,11,Jaipur
396,Hyundai GRAND I10 NIOS,Hyundai,2024,10188,Petrol,Manual,12269,695000.0,2,Jaipur
397,Maruti Swift Dzire,Maruti,2014,298384,Diesel,Manual,15440,328000.0,12,Jaipur
398,Hyundai NEW I20,Hyundai,2023,71643,Petrol,Manual,12904,731000.0,3,Jaipur
