,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
86,Mahindra XUV700,Mahindra,2021,1650000,Petrol,Auto,34679,1595000.0,5,Coimbatore
87,Maruti S Cross,Maruti,2021,19989,Petrol,Manual,13028,738000.0,5,Coimbatore
88,Tata ALTROZ,Tata,2023,7608,Petrol,Auto,13151,745000.0,3,Coimbatore
89,Ford Endeavour,Ford,2012,131413,Diesel,Auto,13151,400000.0,14,Coimbatore
90,Hyundai Creta,Hyundai,2017,196457,Diesel,Manual,16683,750000.0,9,Coimbatore
91,Skoda Rapid,Skoda,2021,45456,Petrol,Auto,15410,900000.0,5,Coimbatore
92,Renault Fluence,Renault,2012,188669,Diesel,Manual,15410,316000.0,14,Coimbatore
93,Skoda Yeti,Skoda,2011,161481,Diesel,Manual,15410,603000.0,15,Coimbatore
94,Maruti S Cross,Maruti,2016,154771,Diesel,Manual,12693,482000.0,10,Coimbatore
95,Tata Harrier,Tata,2021,58598,Diesel,Manual,20547,1200000.0,5,Coimbatore
96,Tata NEXON,Tata,2019,72156,Petrol,Auto,11739,665000.0,7,Coimbatore
97,MG HECTOR,MG,2021,33561,Diesel,Manual,27122,1584000.0,5,Coimbatore
98,Honda Amaze,Honda,2021,98791,Petrol,Auto,11474,650000.0,5,Coimbatore
99,Hyundai Grand i10,Hyundai,2016,32380,Petrol,Auto,10410,468000.0,10,Coimbatore
100,Tata ALTROZ,Tata,2023,40419,Diesel,Manual,14605,852999.9999999999,3,Coimbatore
101,Mahindra XUV700,Mahindra,2024,34143,Petrol,Auto,28149,1644000.0000000002,2,Coimbatore
102,Mercedes Benz GLC CLASS,Mercedes,2020,38919,Diesel,Auto,77051,4500000.0,6,Coimbatore
103,Toyota RUMION,Toyota,2024,13270,Petrol,Auto,26831,1567000.0,2,Coimbatore
104,Hyundai VENUE,Hyundai,2023,11347,Petrol,Auto,18835,1100000.0,3,Coimbatore
105,KIA SELTOS,KIA,2021,79668,Petrol,Auto,17979,1050000.0,5,Coimbatore
106,Mercedes Benz E Class,Mercedes,2023,21783,Diesel,Auto,101793,5945000.0,3,Coimbatore
107,KIA SELTOS,KIA,2022,70140,Petrol,Auto,19263,1125000.0,4,Coimbatore
108,BMW 3 Series,BMW,2012,107911,Diesel,Auto,19263,900000.0,14,Coimbatore
109,Skoda Yeti,Skoda,2012,106371,Diesel,Manual,19263,488000.0,14,Coimbatore
110,Tata PUNCH EV,Tata,2025,14890,Electric,Auto,21780,1272000.0,1,Coimbatore
111,BMW 3 Series,BMW,2013,123543,Diesel,Auto,101639,1150000.0,13,Coimbatore
112,Hyundai KONA ELECTRIC,Hyundai,2022,71735,Electric,Auto,27447,1603000.0,4,Coimbatore
113,Tata PUNCH EV,Tata,2024,920000,Electric,Auto,22395,1030000.0000000001,2,Coimbatore
114,Tata NEXON EV,Tata,2023,83832,Electric,Auto,21112,1233000.0,3,Coimbatore
115,KIA SELTOS,KIA,2022,107819,Diesel,Manual,28113,1293000.0,4,Coimbatore
116,Hyundai VENUE,Hyundai,2019,58526,Petrol,Manual,11710,663000.0,7,Coimbatore
117,Honda BR-V,Honda,2019,91491,Petrol,Manual,11231,636000.0,7,Coimbatore
118,Honda City,Honda,2016,84629,Petrol,Auto,10967,493000.0,10,Coimbatore
119,KIA SONET,KIA,2021,17589,Petrol,Auto,14105,799000.0,5,Coimbatore
120,Maruti Wagon R 1.0,Maruti,2017,61099,Petrol,Auto,6135,314000.0,9,Coimbatore
121,Mahindra XUV300,Mahindra,2024,20844,Petrol,Auto,15718,918000.0,2,Coimbatore
