,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
207,Maruti S PRESSO,Maruti,2022,107242,Petrol,Manual,7786,350000.0,4,Lucknow
208,Maruti Baleno,Maruti,2016,186255,Diesel,Manual,9217,350000.0,10,Lucknow
209,Tata ALTROZ,Tata,2020,47511,Petrol,Manual,7344,416000.0,6,Lucknow
210,Mahindra XUV500,Mahindra,2013,115180,Diesel,Manual,22123,249000.00000000003,13,Lucknow
211,Hyundai Grand i10,Hyundai,2015,90043,Diesel,Manual,7374,222000.00000000003,11,Lucknow
212,Maruti Wagon R 1.0,Maruti,2014,75769,Petrol,Manual,7506,225999.99999999997,12,Lucknow
213,Hyundai Grand i10,Hyundai,2014,70354,Petrol,Manual,7141,215000.0,12,Lucknow
214,Hyundai i10,Hyundai,2010,105584,Petrol,Manual,7141,87000.0,16,Lucknow
215,Maruti Swift,Maruti,2024,4121,Petrol,Manual,11174,633000.0,2,Lucknow
216,Maruti Dzire,Maruti,2018,104941,Petrol,Manual,8809,396000.0,8,Lucknow
217,Tata Harrier,Tata,2020,64834,Diesel,Manual,18270,1067000.0,6,Lucknow
218,Mahindra Scorpio,Mahindra,2018,152441,Diesel,Manual,20860,959000.0,8,Lucknow
219,Maruti Ciaz,Maruti,2017,138794,Diesel,Manual,9031,405999.99999999994,9,Lucknow
220,Maruti Vitara Brezza,Maruti,2017,91020,Diesel,Manual,10010,450000.0,9,Lucknow
221,Hyundai Xcent,Hyundai,2015,44052,Petrol,Manual,6583,250000.0,11,Lucknow
222,Mahindra MARAZZO,Mahindra,2019,30886,Diesel,Manual,8809,499000.0,7,Lucknow
223,Hyundai i10,Hyundai,2011,68362,Petrol,Manual,8809,117000.0,15,Lucknow
224,Hyundai i20 Active,Hyundai,2017,68537,Diesel,Manual,9610,432000.0,9,Lucknow
225,Tata NEXON,Tata,2021,67504,Petrol,Auto,10150,575000.0,5,Lucknow
226,Maruti Dzire,Maruti,2020,75312,Petrol,Manual,7891,447000.0,6,Lucknow
227,Maruti 800,Maruti,2017,61395,Petrol,Manual,2933,150000.0,9,Lucknow
228,Maruti Ertiga,Maruti,2015,166430,Diesel,Manual,17371,523000.00000000006,11,Lucknow
229,Hyundai Creta,Hyundai,2016,261554,Diesel,Manual,17170,652000.0,10,Lucknow
230,Mahindra Xylo,Mahindra,2014,49027,Diesel,Manual,10874,231000.0,12,Lucknow
231,Tata Harrier,Tata,2020,172392,Diesel,Manual,28178,1296000.0,6,Lucknow
232,Tata Indigo ECS,Tata,2014,152933,Diesel,Manual,4943,105000.0,12,Lucknow
233,Mahindra XUV700,Mahindra,2023,25318,Diesel,Auto,36248,2117000.0,3,Lucknow
234,MG ASTOR,MG,2022,14748,Petrol,Auto,24673,1441000.0,4,Lucknow
235,Honda City,Honda,2012,116194,Petrol,Manual,28876,325000.0,14,Lucknow
236,Toyota Etios,Toyota,2011,122182,Petrol,Manual,28876,131000.0,15,Lucknow
237,Maruti Celerio,Maruti,2018,28938,Petrol,Manual,5402,306000.0,8,Lucknow
238,Nissan MAGNITE,Nissan,2021,36801,Petrol,Manual,8791,498000.00000000006,5,Lucknow
239,Maruti Ciaz,Maruti,2018,69198,Petrol,Manual,8509,482000.0,8,Lucknow
240,Tata PUNCH,Tata,2022,29424,Petrol,Manual,9709,550000.0,4,Lucknow
241,Mahindra MARAZZO,Mahindra,2019,112394,Diesel,Manual,13680,615000.0,7,Lucknow
242,Hyundai Eon,Hyundai,2011,13406,Petrol,Manual,13680,138000.0,15,Lucknow
243,Tata Safari Storme,Tata,2018,156925,Diesel,Manual,11901,535000.0,8,Lucknow
244,Maruti Swift Dzire,Maruti,2014,244715,Diesel,Manual,12427,264000.0,12,Lucknow
245,Hyundai Santro Xing,Hyundai,2010,141256,Petrol,Manual,12427,80000.0,16,Lucknow
246,Ford Figo Aspire,Ford,2017,54102,Petrol,Manual,5142,263000.0,9,Lucknow
247,Hyundai Elite i20,Hyundai,2017,166800,Petrol,Manual,7964,358000.0,9,Lucknow
248,Maruti IGNIS,Maruti,2023,22122,Petrol,Auto,10397,589000.0,3,Lucknow
249,Ford Ecosport,Ford,2016,112250,Diesel,Manual,9349,355000.0,10,Lucknow
250,Maruti Baleno,Maruti,2018,43383,Petrol,Manual,7944,450000.0,8,Lucknow
251,Maruti Vitara Brezza,Maruti,2017,163230,Diesel,Manual,9788,440000.00000000006,9,Lucknow
252,Maruti New Wagon-R,Maruti,2022,21184,Petrol,Manual,7608,430999.99999999994,4,Lucknow
253,Tata PUNCH,Tata,2024,14460,Petrol,Manual,9215,522000.0,2,Lucknow
254,Maruti Baleno,Maruti,2017,161542,Petrol,Manual,7941,357000.0,9,Lucknow
255,Maruti S PRESSO,Maruti,2021,41846,Petrol,Manual,5667,321000.0,5,Lucknow
256,Maruti IGNIS,Maruti,2017,75170,Petrol,Manual,6373,326000.0,9,Lucknow
257,Maruti Baleno,Maruti,2016,80010,Petrol,Manual,7007,315000.0,10,Lucknow
258,Maruti New Wagon-R,Maruti,2020,110238,Petrol,Manual,7229,325000.0,6,Lucknow
259,Maruti Wagon R 1.0,Maruti,2011,106373,Petrol,Manual,7229,111000.00000000001,15,Lucknow
