,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
98,Honda Brio,Honda,2012,44647,Petrol,Manual,13327,150000.0,14,Nagpur
99,Volkswagen Vento,Volkswagen,2014,91873,Diesel,Manual,11768,250000.0,12,Nagpur
100,BMW X1,BMW,2012,161764,Diesel,Auto,11768,310000.0,14,Nagpur
101,Maruti Alto K10,Maruti,2012,66191,Petrol,Manual,10218,114999.99999999999,14,Nagpur
102,Maruti FRONX,Maruti,2024,74427,Petrol,Manual,12357,700000.0,2,Nagpur
103,Mahindra XUV500,Mahindra,2015,117122,Diesel,Manual,16009,482000.0,11,Nagpur
104,Hyundai i20,Hyundai,2010,78929,Petrol,Manual,16009,146000.0,16,Nagpur
105,Fiat Linea,Fiat,2011,123457,Diesel,Manual,16009,91000.0,15,Nagpur
106,Maruti Ritz,Maruti,2011,159007,Diesel,Manual,16009,157000.0,15,Nagpur
107,Maruti Ritz,Maruti,2011,179458,Diesel,Manual,16009,135000.0,15,Nagpur
108,Maruti Ertiga,Maruti,2013,98880,Petrol,Manual,15864,337000.0,13,Nagpur
109,Hyundai i10,Hyundai,2015,140280,Petrol,Manual,6320,240000.0,11,Nagpur
110,Hyundai Elite i20,Hyundai,2017,118690,Petrol,Manual,8898,400000.0,9,Nagpur
111,Maruti Swift,Maruti,2013,67337,Petrol,Manual,12569,267000.0,13,Nagpur
112,Hyundai ALCAZAR,Hyundai,2021,20892,Diesel,Manual,24828,1450000.0,5,Nagpur
113,Hyundai Creta,Hyundai,2018,43136,Diesel,Manual,15227,800000.0,8,Nagpur
114,Maruti Alto 800,Maruti,2014,40600,Petrol,Manual,7141,215000.0,12,Nagpur
115,Maruti XL6,Maruti,2022,23974,Petrol,Manual,16780,980000.0000000001,4,Nagpur
116,Hyundai Xcent,Hyundai,2014,88745,Petrol,Manual,6643,200000.0,12,Nagpur
117,Maruti Grand Vitara,Maruti,2024,11654,Petrol,Manual,16266,950000.0,2,Nagpur
118,Tata Indica EV2,Tata,2016,50899,Diesel,Manual,3739,142000.0,10,Nagpur
119,Maruti Ritz,Maruti,2010,65057,Petrol,Manual,3739,140000.0,16,Nagpur
