,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
249,Tata PUNCH,Tata,2022,62649,Petrol,Auto,9603,544000.0,4,Kochi
250,Maruti Baleno,Maruti,2016,69973,Petrol,Manual,9565,430000.0,10,Kochi
251,Hyundai Grand i10,Hyundai,2018,67896,Petrol,Manual,6249,354000.0,8,Kochi
252,Hyundai Eon,Hyundai,2017,14800,Petrol,Manual,4564,233000.0,9,Kochi
253,Maruti Alto K10,Maruti,2016,44783,Petrol,Auto,6451,290000.0,10,Kochi
254,KIA CARENS,KIA,2022,42428,Petrol,Auto,20581,1202000.0,4,Kochi
255,Mahindra MARAZZO,Mahindra,2019,50344,Diesel,Manual,10747,609000.0,7,Kochi
256,Hyundai Xcent,Hyundai,2016,78511,Petrol,Manual,6918,311000.0,10,Kochi
257,Mahindra KUV 100 NXT,Mahindra,2018,29089,Petrol,Manual,4537,256999.99999999997,8,Kochi
258,Tata Hexa,Tata,2017,76356,Diesel,Manual,15855,713000.0,9,Kochi
259,Maruti Swift,Maruti,2019,130885,Petrol,Auto,10502,472000.0,7,Kochi
