,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
73,Honda WR-V,Honda,2021,31014,Diesel,Manual,10380,588000.0,5,ChandigarhTricity
74,Honda Brio,Honda,2013,84188,Petrol,Manual,9179,195000.0,13,ChandigarhTricity
75,Maruti Wagon R 1.0,Maruti,2013,87989,Petrol,Manual,8660,184000.0,13,ChandigarhTricity
76,Skoda KUSHAQ,Skoda,2022,19005,Petrol,Auto,15756,919999.9999999999,4,ChandigarhTricity
77,Maruti Swift,Maruti,2016,94556,Petrol,Manual,7229,325000.0,10,ChandigarhTricity
78,Renault Kwid,Renault,2018,63853,Petrol,Manual,3584,202999.99999999997,8,ChandigarhTricity
79,Maruti Swift Dzire,Maruti,2016,73424,Petrol,Manual,8787,395000.0,10,ChandigarhTricity
80,KIA SONET,KIA,2024,11521,Petrol,Manual,14040,819999.9999999999,2,ChandigarhTricity
81,Maruti S PRESSO,Maruti,2022,84615,Petrol,Manual,6002,340000.0,4,ChandigarhTricity
82,KIA SELTOS,KIA,2020,91899,Petrol,Auto,16609,969999.9999999999,6,ChandigarhTricity
83,Honda City,Honda,2019,90007,Petrol,Auto,10415,590000.0,7,ChandigarhTricity
84,Renault TRIBER,Renault,2024,17563,Petrol,Manual,8685,492000.0,2,ChandigarhTricity
85,Renault TRIBER,Renault,2020,81301,CNG,Manual,7326,415000.00000000006,6,ChandigarhTricity
86,Honda City,Honda,2016,82773,Petrol,Manual,9672,434999.99999999994,10,ChandigarhTricity
87,Maruti S PRESSO,Maruti,2021,26385,Petrol,Manual,5013,284000.0,5,ChandigarhTricity
88,Maruti Celerio,Maruti,2018,40035,Petrol,Manual,6151,348000.0,8,ChandigarhTricity
89,Maruti Swift,Maruti,2017,78682,Petrol,Manual,6843,350000.0,9,ChandigarhTricity
90,Tata ALTROZ,Tata,2023,18802,CNG,Manual,12180,690000.0,3,ChandigarhTricity
91,Hyundai Grand i10,Hyundai,2017,49543,Petrol,Manual,6766,346000.0,9,ChandigarhTricity
92,Tata NEXON,Tata,2022,40079,Petrol,Manual,12110,686000.0,4,ChandigarhTricity
93,Hyundai Creta,Hyundai,2023,40354,Petrol,Manual,17893,1044999.9999999999,3,ChandigarhTricity
94,Maruti Ertiga,Maruti,2016,68424,Petrol,Auto,10744,483000.0,10,ChandigarhTricity
95,KIA SONET,KIA,2021,97057,Diesel,Manual,13575,769000.0,5,ChandigarhTricity
96,Renault TRIBER,Renault,2021,33102,Petrol,Manual,7729,438000.0,5,ChandigarhTricity
97,KIA SONET,KIA,2021,57281,Petrol,Manual,12180,690000.0,5,ChandigarhTricity
98,Hyundai Creta,Hyundai,2015,85018,Diesel,Manual,19763,595000.0,11,ChandigarhTricity
99,Tata Tiago,Tata,2022,14740,Petrol,Manual,8413,476999.99999999994,4,ChandigarhTricity
100,Tata Indigo ECS,Tata,2015,96240,Diesel,Manual,4646,140000.0,11,ChandigarhTricity
101,Maruti Grand Vitara,Maruti,2023,22083,Petrol,Manual,16453,961000.0,3,ChandigarhTricity
102,Hyundai ALCAZAR,Hyundai,2022,26698,Petrol,Manual,20061,1172000.0,4,ChandigarhTricity
103,Renault Kwid,Renault,2019,35610,Petrol,Manual,4490,254000.0,7,ChandigarhTricity
104,Hyundai Elite i20,Hyundai,2017,57569,Petrol,Manual,8580,438999.99999999994,9,ChandigarhTricity
105,Hyundai Elite i20,Hyundai,2017,64792,Petrol,Manual,8817,451000.0,9,ChandigarhTricity
106,Hyundai i10,Hyundai,2012,63888,Petrol,Manual,11550,130000.0,14,ChandigarhTricity
107,Maruti Ertiga,Maruti,2017,230832,Diesel,Manual,13569,610000.0,9,ChandigarhTricity
108,Honda Amaze,Honda,2019,55434,Petrol,Manual,7326,415000.00000000006,7,ChandigarhTricity
109,Maruti BREZZA,Maruti,2022,56562,Petrol,Manual,10569,599000.0,4,ChandigarhTricity
110,Maruti Ritz,Maruti,2012,143855,Diesel,Manual,10569,143000.0,14,ChandigarhTricity
111,Ford Ecosport,Ford,2020,69330,Diesel,Manual,11174,633000.0,6,ChandigarhTricity
112,Maruti Ciaz,Maruti,2015,104530,Petrol,Manual,8400,319000.0,11,ChandigarhTricity
113,Maruti Baleno,Maruti,2016,103008,Petrol,Manual,6206,279000.0,10,ChandigarhTricity
114,Hyundai Elite i20,Hyundai,2016,146639,Diesel,Manual,9270,352000.0,10,ChandigarhTricity
115,Maruti Alto K10,Maruti,2013,110187,Petrol,Manual,9132,194000.0,13,ChandigarhTricity
116,Hyundai Verna,Hyundai,2013,136906,Diesel,Manual,17770,200000.0,13,ChandigarhTricity
