,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
3609,Tata Hexa,Tata,2018,"78,562 km",Diesel,Manual,"EMI ₹32,650/m*",₹6.94 lakh
3610,Toyota Etios,Toyota,2015,"46,678 km",Petrol,Manual,"EMI ₹8,005/m*",₹3.04 lakh
3611,Mahindra Thar,Mahindra,2023,"8,554 km",Petrol,Auto,"EMI ₹26,540/m*",₹15.50 lakh
3612,Maruti Alto,Maruti,2012,"1,20,838 km",Petrol,Manual,"EMI ₹8,618/m*",₹0.97 lakh
3613,Hyundai Creta,Hyundai,2017,"77,178 km",Diesel,Manual,"EMI ₹49,666/m*",₹5.59 lakh
3614,Maruti Dzire,Maruti,2018,"1,67,909 km",Petrol,Manual,"EMI ₹9,587/m*",₹4.31 lakh
3615,Hyundai NEW SANTRO,Hyundai,2019,"24,713 km",Petrol,Auto,"EMI ₹5,825/m*",₹3.30 lakh
3616,Hyundai Eon,Hyundai,2013,"78,350 km",Petrol,Manual,"EMI ₹5,884/m*",₹1.25 lakh
3617,Maruti New Wagon-R,Maruti,2022,"1,10,245 km",Petrol,Manual,"EMI ₹10,121/m*",₹4.55 lakh
3618,Hyundai Creta,Hyundai,2019,"70,591 km",Petrol,Auto,"EMI ₹13,681/m*",₹7.75 lakh
3619,Honda City,Honda,2015,"70,349 km",Petrol,Auto,"EMI ₹12,509/m*",₹4.75 lakh
3620,Hyundai Creta,Hyundai,2017,"1,11,298 km",Diesel,Manual,"EMI ₹47,534/m*",₹5.35 lakh
3621,Toyota Etios,Toyota,2016,"75,200 km",Petrol,Manual,"EMI ₹6,184/m*",₹2.78 lakh
3622,Tata Hexa,Tata,2018,"1,19,265 km",Diesel,Manual,"EMI ₹27,679/m*",₹5.88 lakh
3623,Maruti Dzire,Maruti,2017,"2,03,462 km",Diesel,Manual,"EMI ₹35,095/m*",₹3.95 lakh
3624,Hyundai GRAND I10 NIOS,Hyundai,2022,"13,868 km",Diesel,Auto,"EMI ₹12,219/m*",₹6.25 lakh
3625,Maruti Ertiga,Maruti,2013,"76,857 km",Petrol,Manual,"EMI ₹15,111/m*",₹3.21 lakh
3626,Tata TIGOR,Tata,2022,"81,022 km",Petrol,Manual,"EMI ₹8,120/m*",₹4.60 lakh
3627,Maruti Dzire,Maruti,2022,"92,559 km",Petrol,Manual,"EMI ₹11,845/m*",₹6.71 lakh
3628,Maruti Vitara Brezza,Maruti,2022,"41,377 km",Petrol,Manual,"EMI ₹10,680/m*",₹6.05 lakh
3629,Tata Harrier,Tata,2022,"86,278 km",Diesel,Auto,"EMI ₹25,829/m*",₹13.57 lakh
3630,Maruti Baleno,Maruti,2018,"69,193 km",Petrol,Manual,"EMI ₹6,920/m*",₹3.92 lakh
3631,Maruti IGNIS,Maruti,2020,"30,537 km",Petrol,Manual,"EMI ₹12,498/m*",₹7.08 lakh
3632,Maruti Baleno,Maruti,2023,"52,990 km",Petrol,Manual,"EMI ₹10,821/m*",₹6.13 lakh
3633,Hyundai Creta,Hyundai,2017,"83,261 km",Petrol,Manual,"EMI ₹9,716/m*",₹4.97 lakh
3634,Honda City,Honda,2019,"70,727 km",Petrol,Manual,"EMI ₹10,486/m*",₹5.94 lakh
3635,Mahindra XUV500,Mahindra,2019,"1,60,000 km",Diesel,Manual,"EMI ₹21,589/m*",₹6.50 lakh
3636,Maruti Dzire,Maruti,2019,"95,523 km",Petrol,Manual,"EMI ₹6,708/m*",₹3.80 lakh
3637,Honda City,Honda,2015,"1,03,493 km",Petrol,Auto,"EMI ₹8,558/m*",₹3.25 lakh
3638,Honda Mobilio,Honda,2014,"40,794 km",Petrol,Manual,"EMI ₹10,828/m*",₹3.26 lakh
3639,Hyundai Creta,Hyundai,2017,"1,65,119 km",Diesel,Manual,"EMI ₹40,337/m*",₹4.54 lakh
3640,Tata NEXON,Tata,2022,"27,476 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
3641,Hyundai Santro Xing,Hyundai,2013,"1,12,007 km",Petrol,Manual,"EMI ₹5,272/m*",₹1.12 lakh
3642,Ford Ecosport,Ford,2015,"93,299 km",Petrol,Manual,"EMI ₹8,348/m*",₹3.17 lakh
3643,Tata NEXON,Tata,2021,"81,154 km",Diesel,Auto,"EMI ₹13,925/m*",₹6.26 lakh
3644,Maruti Vitara Brezza,Maruti,2016,"1,21,216 km",Diesel,Manual,"EMI ₹13,925/m*",₹4.03 lakh
3645,Hyundai GRAND I10 NIOS,Hyundai,2022,"12,250 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
3646,Maruti Vitara Brezza,Maruti,2016,"60,170 km",Diesel,Manual,"EMI ₹10,150/m*",₹4.50 lakh
3647,Maruti Vitara Brezza,Maruti,2017,"1,77,353 km",Diesel,Manual,"EMI ₹39,360/m*",₹4.43 lakh
3648,Hyundai AURA,Hyundai,2023,"47,504 km",Petrol,Manual,"EMI ₹11,051/m*",₹6.26 lakh
3649,Honda Jazz,Honda,2012,"1,09,131 km",Petrol,Manual,"EMI ₹10,129/m*",₹1.14 lakh
3650,Tata NEXON,Tata,2023,"41,990 km",Petrol,Auto,"EMI ₹13,698/m*",₹8.00 lakh
3651,Tata TIGOR,Tata,2023,"90,517 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
3652,Tata PUNCH,Tata,2024,"26,222 km",Petrol,Manual,"EMI ₹9,091/m*",₹5.15 lakh
3653,Hyundai Creta,Hyundai,2017,"44,318 km",Petrol,Auto,"EMI ₹15,246/m*",₹8.01 lakh
3654,Hyundai AURA,Hyundai,2022,"37,679 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
3655,Toyota Innova Crysta,Toyota,2017,"2,85,531 km",Diesel,Manual,"EMI ₹98,811/m*",₹11.18 lakh
3656,Maruti Celerio,Maruti,2018,"1,06,833 km",Petrol,Manual,"EMI ₹6,673/m*",₹3.00 lakh
3657,KIA SELTOS,KIA,2019,"52,396 km",Petrol,Manual,"EMI ₹16,327/m*",₹7.34 lakh
3658,Honda Jazz,Honda,2017,"57,888 km",Petrol,Auto,"EMI ₹8,172/m*",₹4.18 lakh
3659,Hyundai AURA,Hyundai,2021,"1,25,910 km",Petrol,Manual,"EMI ₹11,500/m*",₹5.17 lakh
3660,Hyundai VENUE,Hyundai,2022,"29,214 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
3661,Mahindra Kuv100,Mahindra,2017,"27,610 km",Petrol,Manual,"EMI ₹4,868/m*",₹2.49 lakh
3662,Maruti Baleno,Maruti,2024,"44,413 km",Petrol,Manual,"EMI ₹9,833/m*",₹5.57 lakh
3663,Hyundai Elite i20,Hyundai,2015,"44,606 km",Petrol,Manual,"EMI ₹8,848/m*",₹3.36 lakh
3664,Hyundai Creta,Hyundai,2018,"58,313 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
3665,Ford Ecosport,Ford,2018,"58,857 km",Petrol,Manual,"EMI ₹7,803/m*",₹4.42 lakh
3666,Maruti Ertiga,Maruti,2015,"83,280 km",Petrol,Manual,"EMI ₹10,139/m*",₹3.85 lakh
3667,Maruti Wagon R 1.0,Maruti,2017,"64,500 km",Petrol,Manual,"EMI ₹4,731/m*",₹2.42 lakh
3668,Maruti Baleno,Maruti,2018,"1,38,395 km",Diesel,Manual,"EMI ₹18,971/m*",₹4.03 lakh
3669,Maruti Swift,Maruti,2017,"70,997 km",Petrol,Manual,"EMI ₹5,767/m*",₹2.95 lakh
3670,Maruti Swift Dzire,Maruti,2020,"67,170 km",Petrol,Manual,"EMI ₹6,973/m*",₹3.95 lakh
3671,Honda City,Honda,2019,"37,813 km",Petrol,Auto,"EMI ₹11,933/m*",₹6.76 lakh
3672,Hyundai GRAND I10 NIOS,Hyundai,2022,"30,522 km",Petrol,Manual,"EMI ₹9,268/m*",₹5.25 lakh
3673,Nissan MAGNITE,Nissan,2023,"47,805 km",Petrol,Manual,"EMI ₹7,785/m*",₹4.41 lakh
3674,Tata NEXON,Tata,2022,"37,745 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
3675,Maruti S Cross,Maruti,2016,"1,23,644 km",Diesel,Manual,"EMI ₹12,357/m*",₹3.05 lakh
3676,Maruti IGNIS,Maruti,2021,"60,599 km",Petrol,Manual,"EMI ₹6,426/m*",₹3.64 lakh
3677,Maruti Ertiga,Maruti,2017,"2,30,128 km",Diesel,Manual,"EMI ₹35,451/m*",₹3.99 lakh
3678,Maruti New Wagon-R,Maruti,2023,"37,532 km",Petrol,Manual,"EMI ₹10,239/m*",₹5.80 lakh
3679,Maruti Dzire,Maruti,2017,"77,120 km",Diesel,Auto,"EMI ₹36,353/m*",₹4.09 lakh
3680,Tata TIGOR,Tata,2022,"1,07,606 km",Petrol,Manual,"EMI ₹8,787/m*",₹3.95 lakh
3681,Toyota Innova Crysta,Toyota,2017,"1,14,243 km",Diesel,Auto,"EMI ₹92,801/m*",₹10.50 lakh
3682,Hyundai Elite i20,Hyundai,2017,"58,349 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
3683,Ford Ecosport,Ford,2021,"61,051 km",Petrol,Manual,"EMI ₹11,015/m*",₹6.24 lakh
3684,Tata Tiago,Tata,2022,"76,672 km",Petrol,Manual,"EMI ₹6,690/m*",₹3.79 lakh
3685,Maruti Baleno,Maruti,2018,"51,810 km",Petrol,Manual,"EMI ₹6,532/m*",₹3.70 lakh
3686,Hyundai Elite i20,Hyundai,2016,"35,507 km",Petrol,Manual,"EMI ₹7,051/m*",₹3.17 lakh
3687,Honda Amaze,Honda,2018,"1,16,473 km",Petrol,Manual,"EMI ₹8,742/m*",₹3.93 lakh
3688,Maruti Ertiga,Maruti,2016,"85,549 km",Diesel,Manual,"EMI ₹8,742/m*",₹6.32 lakh
3689,Honda Jazz,Honda,2016,"35,003 km",Petrol,Manual,"EMI ₹7,407/m*",₹3.33 lakh
3690,Maruti IGNIS,Maruti,2020,"83,204 km",Petrol,Manual,"EMI ₹6,231/m*",₹3.53 lakh
3691,Hyundai Creta,Hyundai,2016,"94,380 km",Diesel,Manual,"EMI ₹6,231/m*",₹5.81 lakh
3692,Hyundai Elite i20,Hyundai,2017,"80,815 km",Petrol,Manual,"EMI ₹6,628/m*",₹3.39 lakh
3693,Maruti Vitara Brezza,Maruti,2018,"80,666 km",Diesel,Manual,"EMI ₹25,890/m*",₹5.50 lakh
3694,Tata PUNCH,Tata,2024,"10,378 km",Petrol,Manual,"EMI ₹9,338/m*",₹5.29 lakh
3695,Hyundai i20 Active,Hyundai,2016,"65,360 km",Petrol,Manual,"EMI ₹7,741/m*",₹3.48 lakh
3696,Maruti Celerio,Maruti,2020,"62,484 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
3697,Maruti S PRESSO,Maruti,2024,"6,728 km",Petrol,Manual,"EMI ₹6,496/m*",₹3.68 lakh
3698,Tata TIGOR,Tata,2022,"1,39,817 km",Petrol,Manual,"EMI ₹10,054/m*",₹4.52 lakh
3699,Hyundai Elite i20,Hyundai,2017,"59,492 km",Petrol,Manual,"EMI ₹7,234/m*",₹3.70 lakh
3700,Hyundai Creta,Hyundai,2016,"14,330 km",Petrol,Auto,"EMI ₹13,235/m*",₹5.95 lakh
3701,Maruti Swift Dzire,Maruti,2017,"72,844 km",Diesel,Manual,"EMI ₹26,655/m*",₹3.00 lakh
3702,Hyundai AURA,Hyundai,2023,"50,817 km",Petrol,Manual,"EMI ₹10,539/m*",₹5.97 lakh
3703,CITROEN C3,CITROEN,2023,"11,474 km",Petrol,Manual,"EMI ₹8,985/m*",₹5.09 lakh
3704,Mahindra XUV500,Mahindra,2017,"59,482 km",Diesel,Manual,"EMI ₹53,309/m*",₹6.00 lakh
