,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
23,Maruti Swift,Maruti,2011,"2,20,272 km",Diesel,Manual,"EMI ₹6,562/m*",₹2.00 lakh
24,Tata TIGOR,Tata,2022,"70,267 km",Petrol,Manual,"EMI ₹9,250/m*",₹5.24 lakh
25,Maruti Alto 800,Maruti,2016,"89,864 km",Petrol,Manual,"EMI ₹4,071/m*",₹1.83 lakh
26,Hyundai i20,Hyundai,2010,"1,51,672 km",Diesel,Manual,"EMI ₹4,071/m*",₹1.44 lakh
27,Maruti Swift,Maruti,2011,"1,16,318 km",Diesel,Manual,"EMI ₹4,071/m*",₹1.75 lakh
28,Ford Figo,Ford,2012,"1,07,175 km",Diesel,Manual,"EMI ₹4,071/m*",₹1.14 lakh
29,Maruti Wagon R 1.0,Maruti,2014,"77,272 km",Petrol,Manual,"EMI ₹7,174/m*",₹2.16 lakh
30,Tata Zest,Tata,2015,"1,17,858 km",Diesel,Auto,"EMI ₹8,237/m*",₹2.48 lakh
31,Volkswagen Polo,Volkswagen,2011,"82,270 km",Diesel,Manual,"EMI ₹8,237/m*",₹1.47 lakh
32,Hyundai Verna,Hyundai,2013,"1,32,800 km",Diesel,Manual,"EMI ₹24,256/m*",₹2.73 lakh
33,Ford Ecosport,Ford,2014,"1,30,360 km",Diesel,Manual,"EMI ₹14,781/m*",₹3.14 lakh
34,Hyundai i20,Hyundai,2013,"71,497 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
35,Renault Kwid,Renault,2017,"90,151 km",Petrol,Manual,"EMI ₹4,712/m*",₹2.41 lakh
36,Mahindra Verito,Mahindra,2012,"1,32,882 km",Diesel,Manual,"EMI ₹4,712/m*",₹1.34 lakh
37,Datsun Go,Datsun,2014,"82,422 km",Petrol,Manual,"EMI ₹3,919/m*",₹1.18 lakh
38,Datsun Go Plus,Datsun,2015,"48,028 km",Petrol,Manual,"EMI ₹4,371/m*",₹1.66 lakh
39,Maruti Swift,Maruti,2019,"74,223 km",Petrol,Auto,"EMI ₹9,003/m*",₹5.10 lakh
40,Maruti Ertiga,Maruti,2014,"1,62,250 km",Petrol,Manual,"EMI ₹12,920/m*",₹3.89 lakh
41,Volkswagen Polo,Volkswagen,2016,"89,977 km",Petrol,Manual,"EMI ₹8,052/m*",₹3.62 lakh
42,Hyundai i20,Hyundai,2011,"1,31,370 km",Diesel,Manual,"EMI ₹8,052/m*",₹2.08 lakh
43,Maruti Swift Dzire,Maruti,2013,"1,29,221 km",Diesel,Manual,"EMI ₹34,029/m*",₹3.83 lakh
44,Renault Kwid,Renault,2020,"58,382 km",Petrol,Manual,"EMI ₹5,278/m*",₹2.99 lakh
45,Hyundai i10,Hyundai,2011,"7,201 km",Petrol,Manual,"EMI ₹5,278/m*",₹1.84 lakh
46,Maruti Swift,Maruti,2011,"96,745 km",Diesel,Manual,"EMI ₹5,278/m*",₹2.21 lakh
47,Maruti Swift Dzire,Maruti,2012,"1,45,766 km",Diesel,Manual,"EMI ₹5,278/m*",₹3.19 lakh
48,Hyundai Elite i20,Hyundai,2016,"1,18,922 km",Diesel,Manual,"EMI ₹11,692/m*",₹4.44 lakh
49,Maruti Swift,Maruti,2012,"75,072 km",Petrol,Manual,"EMI ₹22,034/m*",₹2.48 lakh
50,Hyundai i10,Hyundai,2013,"1,00,238 km",Petrol,Manual,"EMI ₹8,097/m*",₹1.72 lakh
51,Hyundai Grand i10,Hyundai,2015,"50,859 km",Petrol,Manual,"EMI ₹8,348/m*",₹3.17 lakh
52,Skoda Superb,Skoda,2011,"91,150 km",Diesel,Auto,"EMI ₹8,348/m*",₹2.65 lakh
53,Jeep Compass,Jeep,2017,"98,643 km",Diesel,Manual,"EMI ₹20,460/m*",₹9.41 lakh
54,Honda WR-V,Honda,2017,"69,253 km",Petrol,Manual,"EMI ₹10,772/m*",₹5.51 lakh
55,Volkswagen Jetta,Volkswagen,2012,"1,06,285 km",Diesel,Manual,"EMI ₹10,772/m*",₹2.93 lakh
56,Tata NEXON,Tata,2020,"63,315 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
57,Honda City,Honda,2017,"67,729 km",Petrol,Auto,"EMI ₹10,459/m*",₹5.35 lakh
58,Honda Amaze,Honda,2016,"1,23,065 km",Diesel,Manual,"EMI ₹7,979/m*",₹3.03 lakh
59,Mahindra XUV500,Mahindra,2012,"1,13,742 km",Diesel,Manual,"EMI ₹7,979/m*",₹3.05 lakh
60,Renault Kwid,Renault,2020,"7,206 km",Petrol,Manual,"EMI ₹6,284/m*",₹3.56 lakh
61,Tata TIGOR,Tata,2017,"1,29,740 km",Petrol,Manual,"EMI ₹7,786/m*",₹3.50 lakh
62,BMW X1,BMW,2013,"1,74,751 km",Diesel,Auto,"EMI ₹44,602/m*",₹5.02 lakh
63,Mahindra SCORPIO-N,Mahindra,2023,"31,051 km",Diesel,Auto,"EMI ₹40,238/m*",₹23.50 lakh
64,Mahindra KUV 100 NXT,Mahindra,2018,"93,715 km",Diesel,Manual,"EMI ₹7,058/m*",₹3.61 lakh
65,Ford New Figo,Ford,2015,"1,56,643 km",Diesel,Manual,"EMI ₹7,573/m*",₹2.28 lakh
66,Hyundai NEW I20,Hyundai,2022,"14,024 km",Petrol,Manual,"EMI ₹12,304/m*",₹6.97 lakh
67,Tata PUNCH,Tata,2023,"29,641 km",Petrol,Auto,"EMI ₹13,769/m*",₹7.80 lakh
68,Maruti Swift Dzire,Maruti,2011,"1,00,927 km",Diesel,Manual,"EMI ₹13,769/m*",₹2.03 lakh
