,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
240,Honda WR-V,Honda,2018,"1,70,186 km",Petrol,Manual,"EMI ₹10,010/m*",₹4.50 lakh
241,Honda Amaze,Honda,2021,"63,495 km",Petrol,Manual,"EMI ₹12,586/m*",₹7.13 lakh
242,Maruti Swift Dzire,Maruti,2018,"55,353 km",Diesel,Manual,"EMI ₹7,390/m*",₹3.78 lakh
243,Mahindra XUV700,Mahindra,2023,"72,164 km",Diesel,Manual,"EMI ₹26,043/m*",₹15.21 lakh
244,Tata Safari,Tata,2022,"61,296 km",Diesel,Manual,"EMI ₹21,215/m*",₹12.39 lakh
245,Mahindra XUV300,Mahindra,2019,"83,689 km",Diesel,Manual,"EMI ₹9,709/m*",₹5.50 lakh
246,Hyundai Creta,Hyundai,2023,"26,195 km",Petrol,Manual,"EMI ₹20,992/m*",₹12.26 lakh
247,Tata Tiago,Tata,2021,"22,783 km",Petrol,Manual,"EMI ₹7,321/m*",₹4.15 lakh
248,Mahindra SCORPIO-N,Mahindra,2024,"6,107 km",Diesel,Auto,"EMI ₹43,953/m*",₹25.67 lakh
249,Hyundai Creta,Hyundai,2023,"26,321 km",Petrol,Manual,"EMI ₹22,465/m*",₹13.12 lakh
250,Jeep Compass,Jeep,2018,"1,93,186 km",Diesel,Manual,"EMI ₹19,286/m*",₹8.87 lakh
251,Ford Ecosport,Ford,2019,"77,153 km",Diesel,Manual,"EMI ₹11,986/m*",₹6.79 lakh
252,Mahindra XUV300,Mahindra,2023,"30,835 km",Petrol,Manual,"EMI ₹16,266/m*",₹9.50 lakh
253,Jeep Compass,Jeep,2018,"74,708 km",Diesel,Manual,"EMI ₹21,528/m*",₹11.31 lakh
254,Maruti Dzire,Maruti,2021,"39,667 km",Petrol,Manual,"EMI ₹12,975/m*",₹7.35 lakh
255,Renault Kiger,Renault,2022,"48,681 km",Petrol,Manual,"EMI ₹12,904/m*",₹7.31 lakh
256,Mahindra XUV 3XO,Mahindra,2024,"24,189 km",Petrol,Manual,"EMI ₹21,591/m*",₹12.61 lakh
