,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
70,Hyundai VENUE,Hyundai,2022,"33,978 km",Petrol,Manual,"EMI ₹13,416/m*",₹7.60 lakh
71,Ford Ecosport,Ford,2019,"39,859 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
72,Honda Amaze,Honda,2021,"41,558 km",Petrol,Manual,"EMI ₹10,486/m*",₹5.94 lakh
73,Hyundai Creta,Hyundai,2021,"56,211 km",Diesel,Manual,"EMI ₹16,609/m*",₹9.70 lakh
74,Hyundai GRAND I10 NIOS,Hyundai,2023,"15,901 km",Petrol,Manual,"EMI ₹11,510/m*",₹6.52 lakh
75,Volkswagen VIRTUS,Volkswagen,2023,"39,571 km",Petrol,Auto,"EMI ₹21,626/m*",₹12.63 lakh
76,KIA SELTOS,KIA,2023,"41,507 km",Petrol,Manual,"EMI ₹18,715/m*",₹10.93 lakh
77,Hyundai Creta,Hyundai,2016,"1,21,858 km",Diesel,Manual,"EMI ₹17,117/m*",₹6.50 lakh
78,Hyundai Creta,Hyundai,2022,"55,276 km",Diesel,Auto,"EMI ₹25,136/m*",₹14.68 lakh
79,Ford Ecosport,Ford,2020,"84,347 km",Diesel,Manual,"EMI ₹11,686/m*",₹6.62 lakh
80,KIA CARENS,KIA,2022,"60,500 km",Petrol,Manual,"EMI ₹16,146/m*",₹9.43 lakh
81,Ford Ecosport,Ford,2019,"1,32,162 km",Diesel,Manual,"EMI ₹11,100/m*",₹4.99 lakh
82,Tata Hexa,Tata,2017,"1,06,622 km",Diesel,Manual,"EMI ₹12,902/m*",₹5.80 lakh
83,Hyundai VENUE,Hyundai,2021,"39,512 km",Diesel,Manual,"EMI ₹14,605/m*",₹8.53 lakh
84,Skoda SLAVIA,Skoda,2022,"54,829 km",Petrol,Auto,"EMI ₹26,026/m*",₹15.20 lakh
85,MG HECTOR PLUS,MG,2022,"37,991 km",Diesel,Manual,"EMI ₹28,886/m*",₹16.87 lakh
86,Maruti Ertiga,Maruti,2023,"17,357 km",Petrol,Manual,"EMI ₹14,126/m*",₹8.25 lakh
87,Toyota Innova Crysta,Toyota,2022,"1,43,102 km",Petrol,Manual,"EMI ₹41,854/m*",₹19.25 lakh
88,KIA SELTOS,KIA,2019,"57,582 km",Diesel,Auto,"EMI ₹15,838/m*",₹9.25 lakh
89,Honda Mobilio,Honda,2014,"1,81,049 km",Petrol,Manual,"EMI ₹10,928/m*",₹3.29 lakh
90,Hyundai Creta,Hyundai,2018,"1,33,193 km",Diesel,Auto,"EMI ₹19,351/m*",₹8.90 lakh
91,Mahindra XUV300,Mahindra,2023,"26,311 km",Petrol,Manual,"EMI ₹18,133/m*",₹10.59 lakh
92,Hyundai Creta,Hyundai,2018,"89,452 km",Diesel,Manual,"EMI ₹15,722/m*",₹8.26 lakh
93,Audi Q5,Audi,2015,"56,532 km",Diesel,Auto,"EMI ₹44,263/m*",₹13.52 lakh
94,Mercedes Benz E Class,Mercedes,2017,"72,694 km",Diesel,Auto,"EMI ₹50,899/m*",₹23.41 lakh
95,MG ASTOR,MG,2021,"29,391 km",Petrol,Auto,"EMI ₹17,979/m*",₹10.50 lakh
96,KIA SELTOS,KIA,2020,"73,123 km",Petrol,Manual,"EMI ₹15,581/m*",₹9.10 lakh
97,Volkswagen VIRTUS,Volkswagen,2023,"35,556 km",Petrol,Manual,"EMI ₹17,979/m*",₹10.50 lakh
98,Honda City,Honda,2024,"27,518 km",Petrol,Auto,"EMI ₹22,293/m*",₹13.02 lakh
99,Toyota Innova Crysta,Toyota,2022,"40,508 km",Petrol,Auto,"EMI ₹25,684/m*",₹15.00 lakh
100,Audi Q3,Audi,2017,"88,089 km",Diesel,Auto,"EMI ₹25,004/m*",₹11.50 lakh
101,Tata Harrier,Tata,2024,"23,113 km",Diesel,Auto,"EMI ₹35,495/m*",₹20.73 lakh
102,Ford Endeavour,Ford,2020,"1,00,030 km",Diesel,Auto,"EMI ₹59,792/m*",₹27.50 lakh
