,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
52,Datsun Redi Go,Datsun,2019,"19,665 km",Petrol,Manual,"EMI ₹2,923/m*",₹1.66 lakh
53,Renault Duster,Renault,2021,"80,122 km",Petrol,Manual,"EMI ₹7,418/m*",₹4.20 lakh
54,Volkswagen Vento,Volkswagen,2021,"69,461 km",Petrol,Auto,"EMI ₹8,720/m*",₹4.94 lakh
55,Renault Kwid,Renault,2021,"35,342 km",Petrol,Manual,"EMI ₹4,175/m*",₹2.37 lakh
56,Ford Ecosport,Ford,2017,"79,818 km",Diesel,Manual,"EMI ₹10,719/m*",₹4.82 lakh
57,Maruti Alto,Maruti,2021,"55,172 km",CNG,Manual,"EMI ₹5,318/m*",₹3.01 lakh
58,Mahindra XUV300,Mahindra,2022,"26,264 km",Petrol,Auto,"EMI ₹13,416/m*",₹7.60 lakh
59,Maruti Wagon R 1.0,Maruti,2013,"80,259 km",CNG,Manual,"EMI ₹13,416/m*",₹1.89 lakh
60,Tata NEXON,Tata,2024,"37,551 km",Petrol,Auto,"EMI ₹17,316/m*",₹10.11 lakh
61,Mahindra Thar,Mahindra,2022,"85,305 km",Diesel,Auto,"EMI ₹17,277/m*",₹10.09 lakh
62,Maruti Baleno,Maruti,2017,"85,745 km",Petrol,Auto,"EMI ₹7,935/m*",₹4.06 lakh
63,Jeep Compass,Jeep,2018,"76,385 km",Petrol,Auto,"EMI ₹13,679/m*",₹7.75 lakh
64,Ford Ecosport,Ford,2013,"73,126 km",Diesel,Manual,"EMI ₹26,279/m*",₹2.96 lakh
65,Hyundai Elite i20,Hyundai,2017,"64,079 km",Petrol,Manual,"EMI ₹7,353/m*",₹3.76 lakh
66,Skoda SLAVIA,Skoda,2022,"68,593 km",Petrol,Manual,"EMI ₹14,448/m*",₹8.44 lakh
67,Tata ALTROZ,Tata,2020,"41,908 km",Diesel,Manual,"EMI ₹8,198/m*",₹4.64 lakh
