,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
118,Tata Indica EV2,Tata,2016,"50,899 km",Diesel,Manual,"EMI ₹3,739/m*",₹1.42 lakh
119,Maruti Ritz,Maruti,2010,"65,057 km",Petrol,Manual,"EMI ₹3,739/m*",₹1.40 lakh
120,Maruti Alto,Maruti,2010,"15,257 km",Petrol,Manual,"EMI ₹3,739/m*",₹1.52 lakh
121,Fiat Linea,Fiat,2014,"54,827 km",Petrol,Manual,"EMI ₹4,584/m*",₹1.38 lakh
122,Maruti S PRESSO,Maruti,2020,"46,656 km",Petrol,Manual,"EMI ₹5,719/m*",₹3.24 lakh
123,Honda City,Honda,2014,"1,38,307 km",Petrol,Manual,"EMI ₹11,459/m*",₹3.45 lakh
124,Honda Civic,Honda,2010,"71,130 km",Petrol,Manual,"EMI ₹11,459/m*",₹1.50 lakh
125,Ford Figo Aspire,Ford,2017,"1,38,069 km",Diesel,Manual,"EMI ₹6,228/m*",₹2.80 lakh
126,Fiat Linea,Fiat,2014,"88,190 km",Petrol,Manual,"EMI ₹5,015/m*",₹1.51 lakh
127,Maruti Vitara Brezza,Maruti,2017,"1,62,268 km",Diesel,Manual,"EMI ₹11,790/m*",₹5.30 lakh
128,Chevrolet Beat,Chevrolet,2012,"1,25,000 km",Diesel,Manual,"EMI ₹11,790/m*",₹0.94 lakh
129,Hyundai i20,Hyundai,2012,"1,04,967 km",Diesel,Manual,"EMI ₹11,790/m*",₹2.10 lakh
130,Renault TRIBER,Renault,2022,"41,619 km",Petrol,Manual,"EMI ₹9,179/m*",₹5.20 lakh
131,Tata Zest,Tata,2014,"1,62,583 km",Diesel,Manual,"EMI ₹14,028/m*",₹2.98 lakh
132,Renault Kwid,Renault,2016,"75,184 km",Petrol,Manual,"EMI ₹5,561/m*",₹2.50 lakh
133,Ford Ecosport,Ford,2014,"1,37,194 km",Diesel,Manual,"EMI ₹14,028/m*",₹2.98 lakh
134,Mahindra XUV500,Mahindra,2011,"1,99,416 km",Diesel,Manual,"EMI ₹14,028/m*",₹2.24 lakh
135,Maruti Wagon R 1.0,Maruti,2011,"58,869 km",Petrol,Manual,"EMI ₹14,028/m*",₹1.60 lakh
136,Tata Manza,Tata,2010,"2,01,650 km",Diesel,Manual,"EMI ₹14,028/m*",₹0.70 lakh
137,Maruti Wagon R 1.0,Maruti,2014,"97,726 km",Petrol,Manual,"EMI ₹8,337/m*",₹2.51 lakh
138,Hyundai i20,Hyundai,2013,"66,671 km",Petrol,Manual,"EMI ₹10,827/m*",₹2.30 lakh
139,Hyundai NEW SANTRO,Hyundai,2018,"70,149 km",Petrol,Auto,"EMI ₹5,561/m*",₹3.15 lakh
140,Hyundai Grand i10,Hyundai,2013,"1,14,048 km",Petrol,Manual,"EMI ₹11,298/m*",₹2.40 lakh
141,Volkswagen Vento,Volkswagen,2012,"25,502 km",Diesel,Manual,"EMI ₹11,298/m*",₹1.63 lakh
142,Hyundai Elite i20,Hyundai,2015,"67,297 km",Diesel,Manual,"EMI ₹13,186/m*",₹3.97 lakh
143,Maruti Swift,Maruti,2018,"94,950 km",Diesel,Manual,"EMI ₹10,753/m*",₹5.50 lakh
144,Nissan Sunny,Nissan,2011,"56,165 km",Petrol,Manual,"EMI ₹10,753/m*",₹1.10 lakh
145,Maruti Dzire,Maruti,2017,"73,170 km",Petrol,Manual,"EMI ₹9,169/m*",₹4.69 lakh
146,Hyundai i10,Hyundai,2010,"54,031 km",Petrol,Manual,"EMI ₹9,169/m*",₹1.40 lakh
147,Chevrolet Sail,Chevrolet,2014,"1,04,088 km",Petrol,Manual,"EMI ₹4,318/m*",₹1.30 lakh
148,Fiat Linea,Fiat,2016,"65,850 km",Petrol,Manual,"EMI ₹6,384/m*",₹2.87 lakh
149,Maruti Wagon R 1.0,Maruti,2015,"1,06,814 km",Petrol,Manual,"EMI ₹6,847/m*",₹2.60 lakh
150,Honda City,Honda,2011,"67,157 km",Petrol,Manual,"EMI ₹6,847/m*",₹1.90 lakh
151,Ford Ecosport,Ford,2014,"98,880 km",Diesel,Manual,"EMI ₹16,005/m*",₹3.40 lakh
152,MG HECTOR PLUS,MG,2021,"46,416 km",Petrol,Auto,"EMI ₹16,266/m*",₹9.50 lakh
153,Tata Harrier,Tata,2022,"75,622 km",Diesel,Auto,"EMI ₹23,287/m*",₹13.60 lakh
154,Maruti Vitara Brezza,Maruti,2016,"1,01,464 km",Diesel,Manual,"EMI ₹17,170/m*",₹6.52 lakh
155,Maruti Baleno,Maruti,2018,"93,845 km",Petrol,Manual,"EMI ₹6,973/m*",₹3.95 lakh
156,Honda Brio,Honda,2012,"69,842 km",Petrol,Manual,"EMI ₹17,503/m*",₹1.97 lakh
157,Maruti Ritz,Maruti,2012,"88,119 km",Diesel,Manual,"EMI ₹17,503/m*",₹1.59 lakh
158,Maruti Wagon R 1.0,Maruti,2016,"38,528 km",Petrol,Manual,"EMI ₹7,608/m*",₹3.42 lakh
159,Hyundai i20,Hyundai,2010,"10,10,197 km",Petrol,Manual,"EMI ₹7,608/m*",₹1.25 lakh
160,Mahindra XUV 3XO,Mahindra,2024,"28,614 km",Petrol,Manual,"EMI ₹12,622/m*",₹7.15 lakh
161,Renault Duster,Renault,2012,"1,03,074 km",Diesel,Manual,"EMI ₹12,622/m*",₹2.00 lakh
162,Maruti A Star,Maruti,2010,"50,056 km",Petrol,Manual,"EMI ₹12,622/m*",₹1.50 lakh
163,Mahindra TUV300,Mahindra,2016,"1,07,277 km",Diesel,Auto,"EMI ₹11,192/m*",₹4.25 lakh
164,Hyundai Verna,Hyundai,2012,"1,95,984 km",Diesel,Manual,"EMI ₹11,192/m*",₹2.78 lakh
165,Tata NEXON,Tata,2019,"1,36,000 km",Petrol,Manual,"EMI ₹12,234/m*",₹5.50 lakh
166,Honda City,Honda,2018,"60,374 km",Petrol,Manual,"EMI ₹9,886/m*",₹5.60 lakh
