,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
99,Maruti Ritz,Maruti,2013,"38,391 km",Petrol,Manual,"EMI ₹6,402/m*",₹1.36 lakh
100,KIA CARENS,KIA,2024,"13,681 km",Petrol,Manual,"EMI ₹19,348/m*",₹11.30 lakh
101,Mercedes Benz A Class,Mercedes,2015,"90,269 km",Diesel,Auto,"EMI ₹14,515/m*",₹4.37 lakh
102,Tata NEXON,Tata,2019,"61,904 km",Petrol,Manual,"EMI ₹8,703/m*",₹4.93 lakh
103,Honda City,Honda,2015,"84,961 km",Diesel,Manual,"EMI ₹8,968/m*",₹2.70 lakh
104,Maruti Swift Dzire,Maruti,2013,"2,77,140 km",Diesel,Manual,"EMI ₹10,573/m*",₹1.19 lakh
105,Hyundai Grand i10,Hyundai,2014,"57,608 km",Petrol,Manual,"EMI ₹9,499/m*",₹2.86 lakh
106,Hyundai i10,Hyundai,2011,"91,911 km",Petrol,Manual,"EMI ₹9,499/m*",₹0.71 lakh
107,Honda Amaze,Honda,2013,"1,68,500 km",Diesel,Manual,"EMI ₹13,327/m*",₹1.50 lakh
108,Maruti Swift Dzire,Maruti,2012,"72,056 km",Petrol,Manual,"EMI ₹14,660/m*",₹1.65 lakh
109,Hyundai i10,Hyundai,2011,"31,485 km",Petrol,Manual,"EMI ₹14,660/m*",₹1.10 lakh
110,Honda City,Honda,2014,"1,70,742 km",Diesel,Manual,"EMI ₹10,921/m*",₹2.32 lakh
111,Hyundai GRAND I10 NIOS,Hyundai,2019,"50,152 km",Petrol,Manual,"EMI ₹6,267/m*",₹3.55 lakh
112,Maruti Swift,Maruti,2011,"1,36,449 km",Diesel,Manual,"EMI ₹6,267/m*",₹1.00 lakh
113,Honda City,Honda,2013,"1,19,411 km",Petrol,Manual,"EMI ₹10,639/m*",₹2.26 lakh
114,Maruti Swift,Maruti,2014,"1,05,831 km",Diesel,Manual,"EMI ₹11,533/m*",₹2.45 lakh
115,Maruti Wagon R 1.0,Maruti,2015,"40,019 km",Petrol,Manual,"EMI ₹6,294/m*",₹2.39 lakh
116,Ford Ecosport,Ford,2019,"65,454 km",Petrol,Manual,"EMI ₹8,348/m*",₹4.73 lakh
117,Maruti Wagon R 1.0,Maruti,2015,"33,447 km",Petrol,Manual,"EMI ₹6,083/m*",₹2.31 lakh
118,Chevrolet Beat,Chevrolet,2013,"83,045 km",Diesel,Manual,"EMI ₹6,664/m*",₹0.75 lakh
119,Maruti Eeco,Maruti,2018,"77,243 km",Petrol,Manual,"EMI ₹6,037/m*",₹3.42 lakh
120,Maruti Wagon R 1.0,Maruti,2015,"18,663 km",Petrol,Manual,"EMI ₹6,346/m*",₹2.41 lakh
121,Hyundai GRAND I10 NIOS,Hyundai,2020,"51,791 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
122,Volkswagen Ameo,Volkswagen,2016,"1,06,042 km",Diesel,Auto,"EMI ₹7,215/m*",₹2.74 lakh
123,Chevrolet Enjoy,Chevrolet,2015,"1,86,634 km",Diesel,Manual,"EMI ₹4,584/m*",₹1.38 lakh
124,Maruti Wagon R 1.0,Maruti,2018,"28,111 km",Petrol,Manual,"EMI ₹4,890/m*",₹2.77 lakh
125,Maruti Vitara Brezza,Maruti,2021,"79,258 km",Petrol,Manual,"EMI ₹9,656/m*",₹5.47 lakh
126,Maruti Swift Dzire,Maruti,2015,"37,274 km",Petrol,Manual,"EMI ₹8,954/m*",₹3.40 lakh
127,Honda Jazz,Honda,2012,"36,003 km",Petrol,Manual,"EMI ₹14,482/m*",₹1.63 lakh
128,Volkswagen Vento,Volkswagen,2010,"65,542 km",Petrol,Manual,"EMI ₹14,482/m*",₹1.04 lakh
129,Maruti Celerio,Maruti,2018,"2,248 km",Petrol,Manual,"EMI ₹4,766/m*",₹2.70 lakh
