,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
259,Toyota Fortuner,Toyota,2015,"1,19,847 km",Diesel,Manual,"EMI ₹51,825/m*",₹15.83 lakh
260,Toyota HILUX,Toyota,2023,"1,12,330 km",Diesel,Manual,"EMI ₹57,552/m*",₹26.47 lakh
261,Hyundai Xcent,Hyundai,2014,"1,57,335 km",Diesel,Manual,"EMI ₹9,697/m*",₹2.06 lakh
262,Renault Kiger,Renault,2023,"10,056 km",Petrol,Auto,"EMI ₹11,598/m*",₹6.57 lakh
263,Maruti Celerio,Maruti,2024,"10,814 km",Petrol,Manual,"EMI ₹8,950/m*",₹5.07 lakh
264,Maruti Vitara Brezza,Maruti,2021,"76,253 km",Petrol,Manual,"EMI ₹13,999/m*",₹7.93 lakh
265,Maruti Swift,Maruti,2010,"79,600 km",Petrol,Manual,"EMI ₹13,999/m*",₹1.39 lakh
266,Skoda Rapid,Skoda,2019,"1,10,290 km",Diesel,Auto,"EMI ₹14,615/m*",₹6.57 lakh
267,Maruti Swift,Maruti,2014,"1,16,221 km",Petrol,Manual,"EMI ₹6,842/m*",₹2.06 lakh
268,Maruti Alto 800,Maruti,2014,"37,386 km",Petrol,Manual,"EMI ₹5,414/m*",₹1.63 lakh
269,KIA SELTOS,KIA,2019,"31,834 km",Petrol,Auto,"EMI ₹13,797/m*",₹7.82 lakh
270,Maruti Celerio,Maruti,2015,"75,713 km",Petrol,Auto,"EMI ₹6,057/m*",₹2.30 lakh
271,Maruti Baleno,Maruti,2017,"40,907 km",Diesel,Manual,"EMI ₹9,498/m*",₹4.27 lakh
272,Mahindra XUV500,Mahindra,2018,"78,294 km",Diesel,Manual,"EMI ₹12,062/m*",₹6.17 lakh
273,KIA SELTOS,KIA,2020,"33,034 km",Petrol,Manual,"EMI ₹13,997/m*",₹7.93 lakh
274,Ford Ecosport,Ford,2017,"76,054 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
275,Honda Jazz,Honda,2021,"71,826 km",Petrol,Auto,"EMI ₹8,879/m*",₹5.03 lakh
276,Maruti Ciaz,Maruti,2017,"63,248 km",Petrol,Manual,"EMI ₹6,689/m*",₹3.42 lakh
