,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
405,MG HECTOR,MG,2021,"76,232 km",Diesel,Manual,"EMI ₹18,235/m*",₹10.65 lakh
406,Toyota Innova Crysta,Toyota,2017,"1,86,195 km",Diesel,Manual,"EMI ₹25,787/m*",₹11.86 lakh
407,KIA SELTOS,KIA,2023,"28,150 km",Diesel,Auto,"EMI ₹29,536/m*",₹17.25 lakh
408,Audi Q3,Audi,2015,"12,165 km",Diesel,Auto,"EMI ₹39,254/m*",₹11.99 lakh
409,Hyundai NEW I20,Hyundai,2023,"27,882 km",Petrol,Auto,"EMI ₹16,951/m*",₹9.90 lakh
410,KIA SELTOS,KIA,2021,"31,011 km",Petrol,Manual,"EMI ₹16,266/m*",₹9.50 lakh
411,KIA SELTOS,KIA,2023,"1,11,070 km",Diesel,Auto,"EMI ₹29,352/m*",₹13.50 lakh
412,MG HECTOR PLUS,MG,2022,"43,119 km",Diesel,Manual,"EMI ₹28,166/m*",₹16.45 lakh
413,Tata ALTROZ,Tata,2023,"61,639 km",Diesel,Manual,"EMI ₹13,769/m*",₹7.80 lakh
414,Mahindra SCORPIO-N,Mahindra,2024,"39,163 km",Diesel,Manual,"EMI ₹35,940/m*",₹20.99 lakh
415,Toyota URBAN CRUISER,Toyota,2021,"1,83,769 km",Petrol,Auto,"EMI ₹14,361/m*",₹6.46 lakh
416,BMW X1,BMW,2019,"37,904 km",Diesel,Auto,"EMI ₹29,108/m*",₹17.00 lakh
417,MG HECTOR,MG,2021,"72,150 km",Diesel,Manual,"EMI ₹17,431/m*",₹10.18 lakh
418,Jeep Compass,Jeep,2018,"1,87,887 km",Diesel,Manual,"EMI ₹19,286/m*",₹8.87 lakh
419,KIA SONET,KIA,2023,"7,416 km",Petrol,Manual,"EMI ₹14,194/m*",₹8.29 lakh
420,Honda CRV,Honda,2012,"1,52,430 km",Petrol,Auto,"EMI ₹28,343/m*",₹3.19 lakh
421,Tata Safari,Tata,2023,"22,242 km",Diesel,Auto,"EMI ₹38,474/m*",₹22.47 lakh
422,Jeep Compass,Jeep,2021,"66,316 km",Diesel,Manual,"EMI ₹28,252/m*",₹16.50 lakh
423,Toyota Innova Crysta,Toyota,2023,"8,000 km",Diesel,Manual,"EMI ₹33,765/m*",₹19.72 lakh
424,KIA SELTOS,KIA,2023,"32,930 km",Petrol,Manual,"EMI ₹17,979/m*",₹10.50 lakh
425,KIA SONET,KIA,2023,"13,615 km",Petrol,Auto,"EMI ₹17,259/m*",₹10.08 lakh
426,Maruti S Cross,Maruti,2018,"1,42,322 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
427,KIA SELTOS,KIA,2023,"50,848 km",Petrol,Manual,"EMI ₹16,797/m*",₹9.81 lakh
428,Mercedes Benz C Class,Mercedes,2015,"83,185 km",Diesel,Auto,"EMI ₹44,197/m*",₹13.50 lakh
429,Mahindra XUV500,Mahindra,2017,"86,604 km",Diesel,Manual,"EMI ₹17,394/m*",₹8.00 lakh
430,Hyundai IONIQ 5,Hyundai,2023,"43,384 km",Electric,Auto,"EMI ₹43,662/m*",₹25.50 lakh
431,Toyota Innova Crysta,Toyota,2016,"1,71,045 km",Diesel,Manual,"EMI ₹27,991/m*",₹10.83 lakh
432,MG HECTOR,MG,2019,"97,058 km",Petrol,Auto,"EMI ₹15,599/m*",₹9.11 lakh
433,Hyundai Creta,Hyundai,2022,"1,37,666 km",Diesel,Auto,"EMI ₹25,004/m*",₹11.50 lakh
434,Mahindra MARAZZO,Mahindra,2018,"2,16,709 km",Diesel,Manual,"EMI ₹13,413/m*",₹6.03 lakh
435,Hyundai Xcent,Hyundai,2019,"34,907 km",Petrol,Manual,"EMI ₹7,873/m*",₹4.46 lakh
436,Toyota Innova Crysta,Toyota,2021,"1,01,563 km",Diesel,Manual,"EMI ₹36,027/m*",₹16.57 lakh
437,Mahindra Bolero,Mahindra,2024,"35,474 km",Diesel,Manual,"EMI ₹14,982/m*",₹8.75 lakh
438,Maruti BREZZA,Maruti,2024,"47,585 km",Petrol,Manual,"EMI ₹14,982/m*",₹8.75 lakh
439,Mahindra SCORPIO CLASSIC,Mahindra,2022,"91,280 km",Diesel,Manual,"EMI ₹23,115/m*",₹13.50 lakh
440,Mahindra SCORPIO CLASSIC,Mahindra,2024,"15,724 km",Diesel,Manual,"EMI ₹32,122/m*",₹18.76 lakh
441,MG HECTOR PLUS,MG,2021,"1,65,126 km",Diesel,Manual,"EMI ₹21,634/m*",₹9.95 lakh
442,Maruti Vitara Brezza,Maruti,2020,"68,089 km",Petrol,Manual,"EMI ₹10,380/m*",₹5.88 lakh
443,Hyundai ALCAZAR,Hyundai,2021,"1,20,212 km",Diesel,Auto,"EMI ₹28,961/m*",₹13.32 lakh
444,Skoda KUSHAQ,Skoda,2024,"55,459 km",Petrol,Manual,"EMI ₹15,633/m*",₹9.13 lakh
445,MG HECTOR,MG,2023,"30,420 km",Petrol,Auto,"EMI ₹27,396/m*",₹16.00 lakh
446,KIA SELTOS,KIA,2020,"34,501 km",Petrol,Manual,"EMI ₹16,215/m*",₹9.47 lakh
447,Landrover Range Rover Sport,Landrover,2017,"1,27,989 km",Diesel,Auto,"EMI ₹66,314/m*",₹30.50 lakh
448,Toyota Fortuner,Toyota,2018,"2,00,364 km",Diesel,Manual,"EMI ₹44,572/m*",₹20.50 lakh
449,MG HECTOR,MG,2020,"83,225 km",Diesel,Manual,"EMI ₹13,698/m*",₹8.00 lakh
450,Tata TIAGO EV,Tata,2024,"11,136 km",Electric,Auto,"EMI ₹14,554/m*",₹8.50 lakh
451,Jeep Compass,Jeep,2021,"64,956 km",Diesel,Manual,"EMI ₹28,509/m*",₹16.65 lakh
452,Toyota Innova Crysta,Toyota,2020,"2,48,792 km",Diesel,Manual,"EMI ₹30,896/m*",₹14.21 lakh
453,Toyota Innova Crysta,Toyota,2019,"1,41,845 km",Diesel,Manual,"EMI ₹32,679/m*",₹15.03 lakh
454,Mahindra XUV400,Mahindra,2023,"67,603 km",Electric,Auto,"EMI ₹24,708/m*",₹14.43 lakh
455,Mahindra SCORPIO CLASSIC,Mahindra,2023,"1,04,502 km",Diesel,Manual,"EMI ₹33,983/m*",₹15.63 lakh
456,Toyota Fortuner,Toyota,2015,"1,84,360 km",Diesel,Auto,"EMI ₹38,828/m*",₹11.86 lakh
457,Mahindra SCORPIO-N,Mahindra,2022,"37,179 km",Petrol,Auto,"EMI ₹30,855/m*",₹18.02 lakh
458,Mercedes Benz GLA Class,Mercedes,2022,"44,831 km",Diesel,Auto,"EMI ₹53,080/m*",₹31.00 lakh
459,MG GLOSTER,MG,2021,"71,508 km",Diesel,Auto,"EMI ₹45,374/m*",₹26.50 lakh
460,Maruti Alto K10,Maruti,2015,"73,234 km",Petrol,Manual,"EMI ₹5,425/m*",₹2.06 lakh
461,Mahindra TUV300,Mahindra,2016,"1,48,000 km",Diesel,Manual,"EMI ₹8,954/m*",₹3.40 lakh
462,Maruti Alto K10,Maruti,2017,"1,27,538 km",Petrol,Manual,"EMI ₹4,827/m*",₹2.17 lakh
463,Maruti Wagon R 1.0,Maruti,2017,"60,562 km",Petrol,Manual,"EMI ₹4,773/m*",₹2.44 lakh
464,Maruti S PRESSO,Maruti,2020,"50,358 km",Petrol,Manual,"EMI ₹5,843/m*",₹3.31 lakh
465,Hyundai Grand i10,Hyundai,2013,"96,469 km",Petrol,Manual,"EMI ₹8,850/m*",₹1.88 lakh
466,Tata NEXON,Tata,2021,"1,20,972 km",Diesel,Manual,"EMI ₹17,916/m*",₹8.24 lakh
467,Renault Kwid,Renault,2018,"62,146 km",Petrol,Manual,"EMI ₹3,636/m*",₹2.06 lakh
468,Maruti Dzire,Maruti,2018,"60,828 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
469,Mahindra SCORPIO-N,Mahindra,2024,"16,830 km",Diesel,Manual,"EMI ₹34,245/m*",₹20.00 lakh
470,Ford Ecosport,Ford,2020,"95,605 km",Diesel,Manual,"EMI ₹12,357/m*",₹7.00 lakh
471,Toyota URBAN CRUISER,Toyota,2022,"93,293 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
472,KIA SELTOS,KIA,2019,"1,18,913 km",Diesel,Auto,"EMI ₹17,568/m*",₹8.08 lakh
473,Maruti Swift Dzire,Maruti,2013,"1,48,384 km",Diesel,Manual,"EMI ₹18,125/m*",₹2.04 lakh
474,Chevrolet Enjoy,Chevrolet,2014,"1,02,383 km",Diesel,Manual,"EMI ₹6,873/m*",₹1.46 lakh
475,Maruti Dzire,Maruti,2021,"48,598 km",Petrol,Manual,"EMI ₹8,526/m*",₹4.83 lakh
476,Tata TIGOR,Tata,2018,"44,327 km",Petrol,Manual,"EMI ₹5,910/m*",₹3.35 lakh
477,Maruti Alto K10,Maruti,2023,"10,183 km",Petrol,Manual,"EMI ₹6,169/m*",₹3.49 lakh
478,Maruti Vitara Brezza,Maruti,2018,"84,773 km",Diesel,Manual,"EMI ₹8,504/m*",₹4.35 lakh
479,Maruti Grand Vitara,Maruti,2024,"44,812 km",Petrol,Manual,"EMI ₹14,404/m*",₹8.41 lakh
480,Hyundai VENUE N LINE,Hyundai,2022,"34,027 km",Petrol,Auto,"EMI ₹12,851/m*",₹7.28 lakh
481,Datsun Go Plus,Datsun,2019,"22,295 km",Petrol,Manual,"EMI ₹5,208/m*",₹2.95 lakh
482,Tata TIGOR,Tata,2017,"53,609 km",Petrol,Manual,"EMI ₹6,354/m*",₹3.25 lakh
483,Tata NEXON,Tata,2018,"38,913 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
484,Tata Tiago,Tata,2025,"4,416 km",Petrol,Manual,"EMI ₹8,548/m*",₹4.84 lakh
485,Maruti Wagon R 1.0,Maruti,2014,"72,635 km",Petrol,Manual,"EMI ₹5,851/m*",₹1.76 lakh
486,Maruti Baleno,Maruti,2022,"28,298 km",Petrol,Manual,"EMI ₹8,637/m*",₹4.89 lakh
487,Maruti Wagon R 1.0,Maruti,2015,"32,524 km",Petrol,Manual,"EMI ₹6,715/m*",₹2.55 lakh
