,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
92,Hyundai Grand i10,Hyundai,2013,"75,139 km",Petrol,Manual,"EMI ₹12,192/m*",₹2.59 lakh
93,Mahindra KUV 100 NXT,Mahindra,2017,"40,726 km",Petrol,Manual,"EMI ₹5,572/m*",₹2.85 lakh
94,Renault Kwid,Renault,2018,"40,536 km",Petrol,Manual,"EMI ₹4,784/m*",₹2.71 lakh
95,Renault Duster,Renault,2017,"1,40,973 km",Diesel,Manual,"EMI ₹9,587/m*",₹4.31 lakh
96,Hyundai Elite i20,Hyundai,2015,"1,02,603 km",Diesel,Manual,"EMI ₹15,279/m*",₹4.60 lakh
97,Datsun Redi Go,Datsun,2019,"15,962 km",Petrol,Auto,"EMI ₹4,060/m*",₹2.30 lakh
98,Honda City,Honda,2016,"78,233 km",Petrol,Manual,"EMI ₹10,210/m*",₹4.59 lakh
99,Honda Amaze,Honda,2015,"45,099 km",Petrol,Manual,"EMI ₹8,822/m*",₹3.35 lakh
100,Ford Classic,Ford,2014,"85,337 km",Diesel,Manual,"EMI ₹11,287/m*",₹2.40 lakh
101,Maruti Baleno,Maruti,2017,"53,593 km",Petrol,Auto,"EMI ₹10,321/m*",₹5.28 lakh
102,Hyundai Elite i20,Hyundai,2016,"52,716 km",Petrol,Manual,"EMI ₹8,682/m*",₹3.90 lakh
103,Maruti Wagon R 1.0,Maruti,2016,"56,463 km",Petrol,Auto,"EMI ₹8,245/m*",₹3.71 lakh
104,Maruti Celerio,Maruti,2018,"39,143 km",Petrol,Auto,"EMI ₹6,897/m*",₹3.91 lakh
105,Maruti Alto 800,Maruti,2012,"62,499 km",Petrol,Manual,"EMI ₹12,420/m*",₹1.40 lakh
106,Tata Tiago,Tata,2018,"81,972 km",Petrol,Auto,"EMI ₹5,472/m*",₹3.10 lakh
107,Maruti Wagon R 1.0,Maruti,2011,"74,123 km",Petrol,Manual,"EMI ₹5,472/m*",₹2.20 lakh
108,Maruti Alto K10,Maruti,2013,"62,963 km",Petrol,Manual,"EMI ₹9,415/m*",₹2.00 lakh
109,Hyundai Elite i20,Hyundai,2018,"57,748 km",Petrol,Manual,"EMI ₹8,544/m*",₹4.84 lakh
110,Maruti IGNIS,Maruti,2019,"1,41,300 km",Petrol,Auto,"EMI ₹9,276/m*",₹4.17 lakh
111,Renault Kwid,Renault,2016,"95,485 km",Petrol,Manual,"EMI ₹3,337/m*",₹1.50 lakh
112,Maruti Swift Dzire,Maruti,2013,"1,01,816 km",Petrol,Manual,"EMI ₹13,840/m*",₹2.94 lakh
113,Maruti Alto K10,Maruti,2011,"67,736 km",Petrol,Manual,"EMI ₹13,840/m*",₹1.16 lakh
114,Hyundai Grand i10,Hyundai,2014,"70,416 km",Petrol,Manual,"EMI ₹7,174/m*",₹2.16 lakh
115,Renault Kwid,Renault,2016,"39,248 km",Petrol,Manual,"EMI ₹5,072/m*",₹2.28 lakh
116,Renault Kwid,Renault,2019,"46,337 km",Petrol,Auto,"EMI ₹5,137/m*",₹2.91 lakh
117,Volkswagen Polo,Volkswagen,2011,"71,774 km",Petrol,Manual,"EMI ₹5,137/m*",₹1.86 lakh
118,Hyundai Eon,Hyundai,2014,"73,729 km",Petrol,Manual,"EMI ₹5,148/m*",₹1.55 lakh
119,Tata Tiago,Tata,2016,"1,21,398 km",Petrol,Manual,"EMI ₹5,561/m*",₹2.50 lakh
120,Volkswagen Vento,Volkswagen,2015,"1,32,193 km",Diesel,Manual,"EMI ₹10,562/m*",₹3.18 lakh
121,Renault Kwid,Renault,2017,"49,967 km",Petrol,Manual,"EMI ₹4,888/m*",₹2.50 lakh
122,Mahindra KUV 100 NXT,Mahindra,2018,"59,522 km",Petrol,Manual,"EMI ₹5,261/m*",₹2.98 lakh
123,Tata Bolt,Tata,2015,"80,763 km",Petrol,Manual,"EMI ₹4,766/m*",₹1.81 lakh
124,Honda Amaze,Honda,2015,"1,51,292 km",Petrol,Manual,"EMI ₹8,479/m*",₹3.22 lakh
125,Maruti Swift,Maruti,2019,"73,395 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
126,Jeep Compass,Jeep,2017,"88,121 km",Petrol,Auto,"EMI ₹15,210/m*",₹7.78 lakh
127,Renault Kwid,Renault,2018,"59,290 km",Petrol,Auto,"EMI ₹5,437/m*",₹3.08 lakh
128,Hyundai Verna,Hyundai,2018,"46,380 km",Petrol,Manual,"EMI ₹12,092/m*",₹6.85 lakh
129,Maruti Ritz,Maruti,2012,"1,08,727 km",Diesel,Manual,"EMI ₹12,092/m*",₹2.28 lakh
130,Tata NEXON,Tata,2019,"21,018 km",Petrol,Auto,"EMI ₹12,992/m*",₹7.36 lakh
131,Ford Figo,Ford,2011,"60,989 km",Petrol,Manual,"EMI ₹12,992/m*",₹0.98 lakh
132,Maruti Alto,Maruti,2020,"29,283 km",Petrol,Manual,"EMI ₹5,719/m*",₹3.24 lakh
133,Nissan Micra,Nissan,2011,"1,12,201 km",Petrol,Manual,"EMI ₹5,719/m*",₹1.41 lakh
134,Hyundai Xcent,Hyundai,2014,"1,07,328 km",Petrol,Manual,"EMI ₹9,632/m*",₹2.90 lakh
135,Maruti Celerio,Maruti,2016,"35,557 km",Petrol,Manual,"EMI ₹6,228/m*",₹2.80 lakh
136,Tata NEXON,Tata,2024,"8,468 km",Petrol,Auto,"EMI ₹18,835/m*",₹11.00 lakh
137,Mahindra Kuv100,Mahindra,2016,"45,081 km",Petrol,Manual,"EMI ₹5,205/m*",₹2.34 lakh
138,Ford Figo,Ford,2012,"59,781 km",Petrol,Manual,"EMI ₹12,439/m*",₹1.40 lakh
139,Hyundai Verna,Hyundai,2015,"63,668 km",Petrol,Manual,"EMI ₹12,140/m*",₹4.61 lakh
140,Hyundai New Elantra,Hyundai,2013,"1,06,475 km",Petrol,Manual,"EMI ₹14,404/m*",₹3.06 lakh
141,Tata Indica Vista,Tata,2011,"1,18,634 km",Diesel,Manual,"EMI ₹14,404/m*",₹0.80 lakh
