,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
227,Jeep MERIDIAN,Jeep,2023,"26,958 km",Diesel,Auto,"EMI ₹53,080/m*",₹31.00 lakh
228,Tata NEXON EV,Tata,2021,"38,971 km",Electric,Auto,"EMI ₹14,160/m*",₹8.27 lakh
229,Honda City,Honda,2012,"1,47,979 km",Petrol,Manual,"EMI ₹25,233/m*",₹2.84 lakh
230,Nissan Micra,Nissan,2014,"80,097 km",Petrol,Auto,"EMI ₹10,396/m*",₹3.13 lakh
231,Maruti S PRESSO,Maruti,2024,"11,703 km",Petrol,Auto,"EMI ₹9,515/m*",₹5.39 lakh
232,Mahindra XUV500,Mahindra,2019,"1,74,015 km",Diesel,Auto,"EMI ₹19,025/m*",₹8.75 lakh
233,Hyundai Grand i10,Hyundai,2017,"46,076 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
234,Jeep Compass,Jeep,2021,"51,043 km",Petrol,Auto,"EMI ₹27,293/m*",₹15.94 lakh
235,Volkswagen TAIGUN,Volkswagen,2022,"28,294 km",Petrol,Manual,"EMI ₹15,684/m*",₹9.16 lakh
236,Maruti Alto,Maruti,2011,"78,161 km",Petrol,Manual,"EMI ₹15,684/m*",₹1.23 lakh
237,Maruti Celerio,Maruti,2018,"19,523 km",Petrol,Manual,"EMI ₹6,779/m*",₹3.84 lakh
238,Ford FREESTYLE,Ford,2019,"39,138 km",Petrol,Manual,"EMI ₹6,090/m*",₹3.45 lakh
239,Volkswagen Polo,Volkswagen,2019,"75,551 km",Petrol,Manual,"EMI ₹5,825/m*",₹3.30 lakh
240,Renault Kwid,Renault,2019,"21,757 km",Petrol,Manual,"EMI ₹3,990/m*",₹2.26 lakh
241,Renault Duster,Renault,2020,"25,335 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
242,Hyundai Eon,Hyundai,2018,"25,701 km",Petrol,Manual,"EMI ₹3,107/m*",₹1.76 lakh
243,Ford Figo Aspire,Ford,2018,"94,223 km",Diesel,Manual,"EMI ₹6,842/m*",₹3.50 lakh
