,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
459,Maruti Alto K10,Maruti,2015,"72,959 km",Petrol,Manual,"EMI ₹6,373/m*",₹2.42 lakh
460,Maruti Ciaz,Maruti,2016,"2,22,813 km",Diesel,Manual,"EMI ₹10,007/m*",₹3.80 lakh
461,Honda City,Honda,2015,"79,379 km",Petrol,Manual,"EMI ₹11,060/m*",₹4.20 lakh
462,Honda Amaze,Honda,2014,"1,11,029 km",Diesel,Manual,"EMI ₹9,321/m*",₹1.98 lakh
463,Tata Tiago,Tata,2019,"84,744 km",Petrol,Manual,"EMI ₹6,902/m*",₹3.91 lakh
464,Renault Kwid,Renault,2021,"43,767 km",Petrol,Manual,"EMI ₹4,943/m*",₹2.80 lakh
465,Mahindra XUV500,Mahindra,2016,"2,30,092 km",Diesel,Auto,"EMI ₹12,351/m*",₹4.69 lakh
466,Hyundai Creta,Hyundai,2021,"35,088 km",Petrol,Manual,"EMI ₹19,674/m*",₹11.49 lakh
467,Nissan Terrano,Nissan,2015,"1,04,631 km",Diesel,Manual,"EMI ₹4,883/m*",₹1.47 lakh
468,Hyundai AURA,Hyundai,2020,"56,486 km",Petrol,Manual,"EMI ₹7,732/m*",₹4.38 lakh
469,Honda Brio,Honda,2012,"67,966 km",Petrol,Manual,"EMI ₹13,949/m*",₹1.57 lakh
470,Hyundai Elite i20,Hyundai,2014,"1,09,292 km",Diesel,Manual,"EMI ₹15,158/m*",₹3.22 lakh
471,Tata ALTROZ,Tata,2021,"62,902 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
472,Nissan Micra,Nissan,2011,"1,46,458 km",Diesel,Manual,"EMI ₹8,562/m*",₹0.74 lakh
473,Maruti Baleno,Maruti,2021,"49,114 km",Petrol,Manual,"EMI ₹8,950/m*",₹5.07 lakh
474,Hyundai Eon,Hyundai,2014,"1,27,845 km",Petrol,Manual,"EMI ₹5,314/m*",₹1.60 lakh
475,Hyundai i10,Hyundai,2011,"1,31,197 km",Petrol,Manual,"EMI ₹5,314/m*",₹0.65 lakh
476,Hyundai Verna,Hyundai,2021,"45,311 km",Petrol,Auto,"EMI ₹15,410/m*",₹9.00 lakh
477,Renault Kwid,Renault,2022,"35,862 km",Petrol,Manual,"EMI ₹4,872/m*",₹2.76 lakh
478,Maruti Wagon R 1.0,Maruti,2017,"56,807 km",Petrol,Auto,"EMI ₹5,474/m*",₹2.80 lakh
479,Maruti XL6,Maruti,2019,"86,248 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
480,Maruti Ciaz,Maruti,2017,"1,46,733 km",Petrol,Manual,"EMI ₹9,004/m*",₹4.05 lakh
481,Toyota Glanza,Toyota,2022,"44,836 km",Petrol,Manual,"EMI ₹10,768/m*",₹6.10 lakh
482,Hyundai GRAND I10 NIOS,Hyundai,2022,"21,269 km",Petrol,Manual,"EMI ₹8,793/m*",₹4.98 lakh
